Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
1,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,18,2003,1.9,0,4,1,25.0,2.08,0.52,0.0,0.0,0,0,bundesliga,2022-2023
2,Sargis Adamyan,am ARM,FW,Köln,29,1993,7.2,1,21,12,57.1,2.93,1.68,0.05,0.08,0,0,bundesliga,2022-2023
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,20,2002,15.4,6,37,14,37.8,2.4,0.91,0.16,0.43,0,1,bundesliga,2022-2023
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,5,37,17,45.9,2.32,1.07,0.14,0.29,0,0,bundesliga,2022-2023
5,Felix Agu,ng NGA,"DF,MF",Werder Bremen,22,1999,0.5,0,1,0,0.0,1.84,0.0,0.0,,0,0,bundesliga,2022-2023
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,2,16,5,31.3,1.03,0.32,0.13,0.4,0,0,bundesliga,2022-2023
7,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,6,32,15,46.9,2.38,1.11,0.19,0.4,0,0,bundesliga,2022-2023
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,0,8,1,12.5,0.37,0.05,0.0,0.0,0,0,bundesliga,2022-2023
9,Lucas Alario,ar ARG,FW,Eintracht Frankfurt,29,1992,3.7,1,11,4,36.4,2.99,1.09,0.09,0.25,0,0,bundesliga,2022-2023
10,Faride Alidou,de GER,FW,Eintracht Frankfurt,21,2001,2.0,0,2,0,0.0,0.99,0.0,0.0,,0,0,bundesliga,2022-2023
11,Éder Álvarez Balanta,co COL,MF,Schalke 04,29,1993,2.6,0,1,1,100.0,0.38,0.38,0.0,0.0,0,0,bundesliga,2022-2023
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2022-2023
13,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,4,24,9,37.5,2.21,0.83,0.13,0.33,1,1,bundesliga,2022-2023
14,Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,2,30,9,30.0,1.12,0.34,0.07,0.22,0,0,bundesliga,2022-2023
15,Angeliño,es ESP,MF,Hoffenheim,25,1997,29.1,0,21,4,19.0,0.72,0.14,0.0,0.0,0,0,bundesliga,2022-2023
16,Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,1,24,6,25.0,0.74,0.18,0.04,0.17,0,0,bundesliga,2022-2023
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,22.0,3,29,8,27.6,1.32,0.36,0.1,0.38,0,0,bundesliga,2022-2023
18,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,5.5,1,5,2,40.0,0.91,0.37,0.2,0.5,0,0,bundesliga,2022-2023
19,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,30.7,5,35,15,42.9,1.14,0.49,0.06,0.13,3,5,bundesliga,2022-2023
20,Takuma Asano,jp JPN,"MF,FW",Bochum,27,1994,19.0,3,52,18,34.6,2.73,0.95,0.06,0.17,0,0,bundesliga,2022-2023
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,0,9,0,0.0,4.85,0.0,0.0,,0,0,bundesliga,2022-2023
22,Mehmet Aydin,de GER,"MF,DF",Schalke 04,20,2002,6.3,0,5,0,0.0,0.79,0.0,0.0,,0,0,bundesliga,2022-2023
23,Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2022-2023
24,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,10.3,4,28,10,35.7,2.72,0.97,0.14,0.4,0,0,bundesliga,2022-2023
25,Sanoussy Ba,de GER,FW,RB Leipzig,18,2004,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2022-2023
26,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22,2000,18.4,3,17,8,47.1,0.92,0.43,0.18,0.38,0,0,bundesliga,2022-2023
27,Ridle Baku,de GER,"DF,MF",Wolfsburg,24,1998,28.7,5,28,12,42.9,0.98,0.42,0.18,0.42,0,0,bundesliga,2022-2023
28,Aymen Barkok,ma MAR,MF,Mainz 05,24,1998,6.5,0,11,2,18.2,1.7,0.31,0.0,0.0,0,0,bundesliga,2022-2023
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22,2000,23.8,4,32,14,43.8,1.35,0.59,0.13,0.29,0,0,bundesliga,2022-2023
