match_id,round,page_url,match_date,finished,home_team,home_id,away_team,away_id
3609929,1,/matches/arsenal-vs-brentford/389pak#3609929,2021-08-13T19:00:00Z,True,Brentford,9937,Arsenal,9825
3609934,1,/matches/leeds-united-vs-manchester-united/2wd539#3609934,2021-08-14T11:30:00Z,True,Manchester United,10260,Leeds United,8463
3609930,1,/matches/burnley-vs-brighton-hove-albion/2sqnq1#3609930,2021-08-14T14:00:00Z,True,Burnley,8191,Brighton & Hove Albion,10204
3609931,1,/matches/chelsea-vs-crystal-palace/2rhvvj#3609931,2021-08-14T14:00:00Z,True,Chelsea,8455,Crystal Palace,9826
3609932,1,/matches/southampton-vs-everton/2feiut#3609932,2021-08-14T14:00:00Z,True,Everton,8668,Southampton,8466
3609933,1,/matches/leicester-city-vs-wolverhampton-wanderers/2c0p1m#3609933,2021-08-14T14:00:00Z,True,Leicester City,8197,Wolverhampton Wanderers,8602
3609938,1,/matches/watford-vs-aston-villa/3bwqyg#3609938,2021-08-14T14:00:00Z,True,Watford,9817,Aston Villa,10252
3609936,1,/matches/liverpool-vs-norwich-city/2tw7ms#3609936,2021-08-14T16:30:00Z,True,Norwich City,9850,Liverpool,8650
3609935,1,/matches/west-ham-united-vs-newcastle-united/2yilb8#3609935,2021-08-15T13:00:00Z,True,Newcastle United,10261,West Ham United,8654
3609937,1,/matches/manchester-city-vs-tottenham-hotspur/2egtpx#3609937,2021-08-15T15:30:00Z,True,Tottenham Hotspur,8586,Manchester City,8456
3610021,10,/matches/leicester-city-vs-arsenal/2op49y#3610021,2021-10-30T11:30:00Z,True,Leicester City,8197,Arsenal,9825
3610020,10,/matches/burnley-vs-brentford/2pu6rd#3610020,2021-10-30T14:00:00Z,True,Burnley,8191,Brentford,9937
3610022,10,/matches/liverpool-vs-brighton-hove-albion/2xtwfj#3610022,2021-10-30T14:00:00Z,True,Liverpool,8650,Brighton & Hove Albion,10204
3610023,10,/matches/manchester-city-vs-crystal-palace/2ri9zd#3610023,2021-10-30T14:00:00Z,True,Manchester City,8456,Crystal Palace,9826
3610024,10,/matches/chelsea-vs-newcastle-united/2wabz1#3610024,2021-10-30T14:00:00Z,True,Newcastle United,10261,Chelsea,8455
3610027,10,/matches/southampton-vs-watford/2rio2z#3610027,2021-10-30T14:00:00Z,True,Watford,9817,Southampton,8466
3610026,10,/matches/tottenham-hotspur-vs-manchester-united/2xqo0r#3610026,2021-10-30T16:30:00Z,True,Tottenham Hotspur,8586,Manchester United,10260
3610025,10,/matches/leeds-united-vs-norwich-city/2rufon#3610025,2021-10-31T14:00:00Z,True,Norwich City,9850,Leeds United,8463
3610019,10,/matches/west-ham-united-vs-aston-villa/2yexzh#3610019,2021-10-31T16:30:00Z,True,Aston Villa,10252,West Ham United,8654
3610028,10,/matches/wolverhampton-wanderers-vs-everton/2gso21#3610028,2021-11-01T20:00:00Z,True,Wolverhampton Wanderers,8602,Everton,8668
3610037,11,/matches/southampton-vs-aston-villa/2wb4v7#3610037,2021-11-05T20:00:00Z,True,Southampton,8466,Aston Villa,10252
3610036,11,/matches/manchester-city-vs-manchester-united/2wabz2#3610036,2021-11-06T12:30:00Z,True,Manchester United,10260,Manchester City,8456
3610030,11,/matches/norwich-city-vs-brentford/38kar7#3610030,2021-11-06T15:00:00Z,True,Brentford,9937,Norwich City,9850
3610032,11,/matches/burnley-vs-chelsea/2ahuos#3610032,2021-11-06T15:00:00Z,True,Chelsea,8455,Burnley,8191
3610033,11,/matches/wolverhampton-wanderers-vs-crystal-palace/2t3pt4#3610033,2021-11-06T15:00:00Z,True,Crystal Palace,9826,Wolverhampton Wanderers,8602
3610031,11,/matches/brighton-hove-albion-vs-newcastle-united/3gos5a#3610031,2021-11-06T17:30:00Z,True,Brighton & Hove Albion,10204,Newcastle United,10261
3610029,11,/matches/watford-vs-arsenal/36v0wg#3610029,2021-11-07T14:00:00Z,True,Arsenal,9825,Watford,9817
3610034,11,/matches/tottenham-hotspur-vs-everton/2gmqxt#3610034,2021-11-07T14:00:00Z,True,Everton,8668,Tottenham Hotspur,8586
3610035,11,/matches/leicester-city-vs-leeds-united/2amuld#3610035,2021-11-07T14:00:00Z,True,Leeds United,8463,Leicester City,8197
3610038,11,/matches/liverpool-vs-west-ham-united/2h59kq#3610038,2021-11-07T16:30:00Z,True,West Ham United,8654,Liverpool,8650
3610041,12,/matches/leicester-city-vs-chelsea/2ajzrp#3610041,2021-11-20T12:30:00Z,True,Leicester City,8197,Chelsea,8455
3610039,12,/matches/brighton-hove-albion-vs-aston-villa/3gku1s#3610039,2021-11-20T15:00:00Z,True,Aston Villa,10252,Brighton & Hove Albion,10204
3610040,12,/matches/burnley-vs-crystal-palace/2on6r7#3610040,2021-11-20T15:00:00Z,True,Burnley,8191,Crystal Palace,9826
3610044,12,/matches/brentford-vs-newcastle-united/3dgf4m#3610044,2021-11-20T15:00:00Z,True,Newcastle United,10261,Brentford,9937
3610045,12,/matches/southampton-vs-norwich-city/2rvm2w#3610045,2021-11-20T15:00:00Z,True,Norwich City,9850,Southampton,8466
3610047,12,/matches/watford-vs-manchester-united/3c06v8#3610047,2021-11-20T15:00:00Z,True,Watford,9817,Manchester United,10260
