Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,9.6,1,27,6,22.2,2.81,0.62,0.04,0.17,0,0,la_liga,2023-2024
43,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,29,1994,3.3,1,9,3,33.3,2.72,0.91,0.11,0.33,0,0,la_liga,2023-2024
44,César Azpilicueta,es ESP,"DF,MF",Atlético Madrid,33,1989,15.8,0,2,2,100.0,0.13,0.13,0.0,0.0,0,0,la_liga,2023-2024
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,15.9,0,8,2,25.0,0.5,0.13,0.0,0.0,0,0,la_liga,2023-2024
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,la_liga,2023-2024
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,25.3,0,14,3,21.4,0.55,0.12,0.0,0.0,0,0,la_liga,2023-2024
48,Alex Baena,es ESP,"MF,FW",Villarreal,22,2001,28.7,2,73,26,35.6,2.55,0.91,0.03,0.08,0,1,la_liga,2023-2024
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,9.3,0,2,0,0.0,0.21,0.0,0.0,,0,0,la_liga,2023-2024
50,Cédric Bakambu,cd COD,FW,Real Betis,32,1991,2.2,0,4,1,25.0,1.86,0.46,0.0,0.0,0,0,la_liga,2023-2024
51,Alejandro Balde,es ESP,"DF,MF",Barcelona,19,2003,15.3,0,5,1,20.0,0.33,0.07,0.0,0.0,0,0,la_liga,2023-2024
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,31.9,0,11,4,36.4,0.34,0.13,0.0,0.0,0,0,la_liga,2023-2024
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,22.0,3,41,16,39.0,1.86,0.73,0.07,0.19,0,0,la_liga,2023-2024
54,Léo Baptistão,br BRA,"FW,MF",Almería,30,1992,20.4,6,48,18,37.5,2.35,0.88,0.13,0.33,0,0,la_liga,2023-2024
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,3.4,0,4,2,50.0,1.19,0.59,0.0,0.0,0,0,la_liga,2023-2024
56,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,21,2001,15.9,4,37,12,32.4,2.33,0.76,0.11,0.33,0,0,la_liga,2023-2024
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,17.3,0,17,7,41.2,0.98,0.41,0.0,0.0,0,0,la_liga,2023-2024
58,Marc Bartra,es ESP,DF,Real Betis,32,1991,2.5,0,3,0,0.0,1.2,0.0,0.0,,0,0,la_liga,2023-2024
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,0,1,0,0.0,0.06,0.0,0.0,,0,0,la_liga,2023-2024
60,Bebé,cv CPV,"FW,MF",Rayo Vallecano,33,1990,2.4,2,16,5,31.3,6.79,2.12,0.06,0.2,1,1,la_liga,2023-2024
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,8.6,2,21,10,47.6,2.45,1.17,0.1,0.2,0,0,la_liga,2023-2024
62,Héctor Bellerín,es ESP,DF,Real Betis,28,1995,19.0,0,2,0,0.0,0.11,0.0,0.0,,0,0,la_liga,2023-2024
63,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,20,2003,25.7,19,63,35,55.6,2.45,1.36,0.29,0.51,1,1,la_liga,2023-2024
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,27.0,0,21,3,14.3,0.78,0.11,0.0,0.0,0,0,la_liga,2023-2024
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,12.6,3,14,7,50.0,1.11,0.55,0.21,0.43,0,0,la_liga,2023-2024
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,21.4,3,18,6,33.3,0.84,0.28,0.17,0.5,0,0,la_liga,2023-2024
67,Álex Berenguer,es ESP,MF,Athletic Club,28,1995,17.7,7,32,12,37.5,1.81,0.68,0.19,0.5,1,1,la_liga,2023-2024
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,27.0,0,20,3,15.0,0.74,0.11,0.0,0.0,0,0,la_liga,2023-2024
69,Daley Blind,nl NED,DF,Girona,33,1990,33.0,1,17,6,35.3,0.51,0.18,0.06,0.17,0,0,la_liga,2023-2024
70,Adri Bosch,es ESP,DF,Granada,22,2001,0.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,28.2,6,56,15,26.8,1.98,0.53,0.11,0.4,0,0,la_liga,2023-2024
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,0.5,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
74,Brau,es ESP,DF,Granada,21,2001,0.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
75,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
76,Ben Brereton,cl CHI,"MF,FW",Villarreal,24,1999,3.0,0,5,1,20.0,1.67,0.33,0.0,0.0,0,0,la_liga,2023-2024
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,27.1,17,76,35,46.1,2.81,1.29,0.18,0.4,3,4,la_liga,2023-2024
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,1.3,0,1,0,0.0,0.77,0.0,0.0,,0,0,la_liga,2023-2024
79,Pablo Busto,es ESP,DF,Real Betis,17,2005,0.5,0,1,0,0.0,2.05,0.0,0.0,,0,0,la_liga,2023-2024
80,José Callejón,es ESP,"MF,FW",Granada,36,1987,8.9,0,11,3,27.3,1.23,0.34,0.0,0.0,0,0,la_liga,2023-2024
81,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,20.2,0,17,7,41.2,0.84,0.35,0.0,0.0,0,0,la_liga,2023-2024
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,18.5,3,34,13,38.2,1.84,0.7,0.09,0.23,0,0,la_liga,2023-2024
83,José Campaña,es ESP,MF,Las Palmas,30,1993,1.9,0,1,0,0.0,0.53,0.0,0.0,,0,0,la_liga,2023-2024
