Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
530,Alex Sola,es ESP,DF,Real Sociedad,23,1999,3.9,0,4,1,25.0,1.03,0.26,0.0,0.0,0,0,la_liga,2022-2023
531,Augusto Solari,ar ARG,MF,Celta Vigo,30,1992,2.9,0,2,0,0.0,0.69,0.0,0.0,,0,0,la_liga,2022-2023
532,Carlos Soler,es ESP,MF,Valencia,25,1997,2.7,1,5,2,40.0,1.86,0.74,0.0,0.0,1,1,la_liga,2022-2023
533,David Soria,es ESP,GK,Getafe,29,1993,38.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
534,Hugo Sotelo,es ESP,MF,Celta Vigo,18,2003,0.2,0,1,0,0.0,5.29,0.0,0.0,,0,0,la_liga,2022-2023
535,Dyego Sousa,pt POR,FW,Almería,32,1989,5.9,0,13,5,38.5,2.22,0.85,0.0,0.0,0,0,la_liga,2022-2023
536,Vinicius Souza,br BRA,MF,Espanyol,23,1999,27.0,1,10,4,40.0,0.37,0.15,0.1,0.25,0,0,la_liga,2022-2023
537,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,22,2000,18.9,4,41,15,36.6,2.16,0.79,0.1,0.27,0,0,la_liga,2022-2023
538,Cristhian Stuani,uy URU,FW,Girona,35,1986,12.1,9,35,21,60.0,2.89,1.73,0.11,0.19,5,6,la_liga,2022-2023
539,Damián Suárez,uy URU,"DF,MF",Getafe,34,1988,21.6,1,6,1,16.7,0.28,0.05,0.17,1.0,0,0,la_liga,2022-2023
540,Denis Suárez,es ESP,MF,Espanyol,28,1994,10.5,0,4,3,75.0,0.38,0.29,0.0,0.0,0,0,la_liga,2022-2023
541,Mario Suárez,es ESP,MF,Rayo Vallecano,35,1987,0.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
542,Suso,es ESP,"MF,FW",Sevilla,28,1993,11.8,2,25,10,40.0,2.11,0.85,0.08,0.2,0,0,la_liga,2022-2023
543,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,18,2004,0.6,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
544,Alexander Sørloth,no NOR,FW,Real Sociedad,26,1995,26.5,12,63,28,44.4,2.38,1.06,0.19,0.43,0,0,la_liga,2022-2023
545,Renato Tapia,pe PER,"MF,DF",Celta Vigo,27,1995,16.1,0,15,3,20.0,0.93,0.19,0.0,0.0,0,0,la_liga,2022-2023
546,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,22,2000,23.5,0,38,6,15.8,1.61,0.25,0.0,0.0,0,0,la_liga,2022-2023
547,Alex Telles,br BRA,"DF,MF",Sevilla,29,1992,15.9,0,12,1,8.3,0.76,0.06,0.0,0.0,0,0,la_liga,2022-2023
548,Marc-André ter Stegen,de GER,GK,Barcelona,30,1992,37.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
549,Ramón Terrats,es ESP,MF,Villarreal,21,2000,9.1,1,15,6,40.0,1.65,0.66,0.07,0.17,0,0,la_liga,2022-2023
550,Ramón Terrats,es ESP,MF,Girona,21,2000,2.4,0,4,0,0.0,1.7,0.0,0.0,,0,0,la_liga,2022-2023
551,Raúl de Tomás,es ESP,FW,Rayo Vallecano,27,1994,8.9,4,43,16,37.2,4.81,1.79,0.07,0.19,1,2,la_liga,2022-2023
552,Pablo Torre,es ESP,FW,Barcelona,19,2003,1.6,0,1,0,0.0,0.62,0.0,0.0,,0,0,la_liga,2022-2023
553,David Torres,es ESP,DF,Valladolid,19,2003,4.3,0,1,0,0.0,0.23,0.0,0.0,,0,0,la_liga,2022-2023
554,Ferrán Torres,es ESP,FW,Barcelona,22,2000,15.5,4,38,12,31.6,2.46,0.78,0.11,0.33,0,1,la_liga,2022-2023
555,Óliver Torres,es ESP,MF,Sevilla,27,1994,23.7,3,21,8,38.1,0.88,0.34,0.14,0.38,0,0,la_liga,2022-2023
556,Pau Torres,es ESP,DF,Villarreal,25,1997,33.9,1,12,5,41.7,0.35,0.15,0.08,0.2,0,0,la_liga,2022-2023
557,Roberto Torres,es ESP,MF,Osasuna,33,1989,0.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
558,Lucas Torró,es ESP,MF,Osasuna,28,1994,27.5,1,28,4,14.3,1.02,0.15,0.04,0.25,0,0,la_liga,2022-2023
559,Nabil Touaizi,ma MAR,MF,Espanyol,21,2001,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
560,Óscar Trejo,ar ARG,"MF,FW",Rayo Vallecano,34,1988,23.8,3,24,8,33.3,1.01,0.34,0.08,0.25,1,2,la_liga,2022-2023
561,Manu Trigueros,es ESP,MF,Villarreal,30,1991,9.2,0,8,2,25.0,0.87,0.22,0.0,0.0,0,0,la_liga,2022-2023
562,Viktor Tsyhankov,ua UKR,MF,Girona,24,1997,16.5,3,19,9,47.4,1.15,0.54,0.16,0.33,0,0,la_liga,2022-2023
563,Beñat Turrientes,es ESP,MF,Real Sociedad,20,2002,1.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
564,Enes Ünal,tr TUR,FW,Getafe,25,1997,33.0,14,88,37,42.0,2.67,1.12,0.1,0.24,5,6,la_liga,2022-2023
565,Oscar Ureña,do DOM,MF,Girona,19,2003,1.1,0,1,1,100.0,0.9,0.9,0.0,0.0,0,0,la_liga,2022-2023
566,Óscar Valentín,es ESP,MF,Rayo Vallecano,27,1994,28.4,0,13,1,7.7,0.46,0.04,0.0,0.0,0,0,la_liga,2022-2023
567,Martin Valjent,sk SVK,DF,Mallorca,26,1995,29.5,0,6,2,33.3,0.2,0.07,0.0,0.0,0,0,la_liga,2022-2023
568,Jesús Vallejo,es ESP,DF,Real Madrid,25,1997,0.2,0,1,1,100.0,4.09,4.09,0.0,0.0,0,0,la_liga,2022-2023
569,Manu Vallejo,es ESP,"MF,FW",Girona,25,1997,2.3,0,1,1,100.0,0.44,0.44,0.0,0.0,0,0,la_liga,2022-2023
570,Federico Valverde,uy URU,"MF,FW",Real Madrid,24,1998,27.8,7,63,21,33.3,2.27,0.76,0.11,0.33,0,0,la_liga,2022-2023
571,Jesus Vazquez,es ESP,DF,Valencia,19,2003,3.4,0,6,1,16.7,1.74,0.29,0.0,0.0,0,0,la_liga,2022-2023
572,Kevin Vázquez,es ESP,"DF,MF",Celta Vigo,29,1993,4.9,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
573,Lucas Vázquez,es ESP,DF,Real Madrid,31,1991,12.7,4,14,7,50.0,1.1,0.55,0.29,0.57,0,0,la_liga,2022-2023
574,Gabriel Veiga,es ESP,MF,Celta Vigo,20,2002,25.5,11,62,29,46.8,2.43,1.14,0.18,0.38,0,0,la_liga,2022-2023
575,Unai Vencedor Paris,es ESP,MF,Athletic Club,21,2000,2.1,0,3,2,66.7,1.4,0.93,0.0,0.0,0,0,la_liga,2022-2023
576,Gonzalo Verdú,es ESP,DF,Elche,33,1988,7.8,1,9,2,22.2,1.15,0.26,0.11,0.5,0,0,la_liga,2022-2023
577,Mikel Vesga,es ESP,MF,Athletic Club,29,1993,28.6,3,29,6,20.7,1.01,0.21,0.03,0.17,2,3,la_liga,2022-2023
578,Aleix Vidal,es ESP,"MF,FW",Espanyol,32,1989,11.4,0,3,2,66.7,0.26,0.18,0.0,0.0,0,0,la_liga,2022-2023
579,Nacho Vidal,es ESP,DF,Osasuna,27,1995,13.9,0,9,2,22.2,0.65,0.14,0.0,0.0,0,0,la_liga,2022-2023
580,Toni Villa,es ESP,MF,Valladolid,27,1995,1.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
581,Toni Villa,es ESP,MF,Girona,27,1995,9.9,1,17,3,17.6,1.71,0.3,0.06,0.33,0,0,la_liga,2022-2023
582,Asier Villalibre,es ESP,FW,Athletic Club,24,1997,1.1,0,4,1,25.0,3.71,0.93,0.0,0.0,0,0,la_liga,2022-2023
583,Gonzalo Villar,es ESP,MF,Getafe,24,1998,5.1,0,3,1,33.3,0.59,0.2,0.0,0.0,0,0,la_liga,2022-2023
584,Iván Villar,es ESP,GK,Celta Vigo,25,1997,19.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
585,Daniel Vivian,es ESP,DF,Athletic Club,23,1999,26.4,1,13,2,15.4,0.49,0.08,0.08,0.5,0,0,la_liga,2022-2023
586,Shon Weissman,il ISR,FW,Valladolid,26,1996,8.3,1,18,7,38.9,2.17,0.84,0.06,0.14,0,0,la_liga,2022-2023
587,Axel Werner,ar ARG,GK,Elche,26,1996,2.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2022-2023
588,Iñaki Williams,gh GHA,"FW,MF",Athletic Club,28,1994,31.5,10,85,35,41.2,2.7,1.11,0.11,0.26,1,2,la_liga,2022-2023
589,Nico Williams,es ESP,MF,Athletic Club,20,2002,29.5,6,61,20,32.8,2.07,0.68,0.1,0.3,0,0,la_liga,2022-2023
590,Axel Witsel,be BEL,"DF,MF",Atlético Madrid,33,1989,25.1,0,9,0,0.0,0.36,0.0,0.0,,0,0,la_liga,2022-2023
591,Lamine Yamal,es ESP,"FW,MF",Barcelona,15,2007,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,0,0,la_liga,2022-2023
592,Jawad El Yamiq,ma MAR,DF,Valladolid,30,1992,17.9,1,17,4,23.5,0.95,0.22,0.06,0.25,0,0,la_liga,2022-2023
593,Joseba Zaldúa,es ESP,DF,Cádiz,30,1992,7.1,0,1,0,0.0,0.14,0.0,0.0,,0,0,la_liga,2022-2023
594,Oier Zarraga,es ESP,MF,Athletic Club,23,1999,9.5,0,18,5,27.8,1.9,0.53,0.0,0.0,0,0,la_liga,2022-2023
595,Igor Zubeldia,es ESP,DF,Real Sociedad,25,1997,28.2,1,6,1,16.7,0.21,0.04,0.17,1.0,0,0,la_liga,2022-2023
596,Martín Zubimendi,es ESP,MF,Real Sociedad,23,1999,34.5,1,13,2,15.4,0.38,0.06,0.08,0.5,0,0,la_liga,2022-2023
