Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
41,Maximilian Beier,de GER,"FW,MF",Hoffenheim,20,2002,26.9,16,82,39,47.6,3.05,1.45,0.2,0.41,0,0,bundesliga,2023-2024
42,Stefan Bell,de GER,DF,Mainz 05,31,1991,7.4,0,4,2,50.0,0.54,0.27,0.0,0.0,0,0,bundesliga,2023-2024
43,Ramy Bensebaini,dz ALG,DF,Dortmund,28,1995,11.5,0,16,0,0.0,1.39,0.0,0.0,,0,0,bundesliga,2023-2024
44,Mergim Berisha,de GER,FW,Hoffenheim,25,1998,1.6,0,6,1,16.7,3.75,0.62,0.0,0.0,0,0,bundesliga,2023-2024
45,Mergim Berisha,de GER,FW,Augsburg,25,1998,1.4,0,5,0,0.0,3.69,0.0,0.0,,0,0,bundesliga,2023-2024
46,Bernardo,br BRA,DF,Bochum,28,1995,32.5,1,29,8,27.6,0.89,0.25,0.03,0.13,0,0,bundesliga,2023-2024
47,Matúš Bero,sk SVK,"MF,FW",Bochum,27,1995,18.5,1,30,6,20.0,1.63,0.33,0.03,0.17,0,0,bundesliga,2023-2024
48,Jan-Niklas Beste,de GER,MF,Heidenheim,24,1999,28.9,8,49,19,38.8,1.69,0.66,0.16,0.42,0,1,bundesliga,2023-2024
49,Pep Biel,es ESP,"FW,MF",Augsburg,26,1996,3.2,0,6,1,16.7,1.89,0.32,0.0,0.0,0,0,bundesliga,2023-2024
50,Tom Bischof,de GER,MF,Hoffenheim,18,2005,2.0,0,5,1,20.0,2.53,0.51,0.0,0.0,0,0,bundesliga,2023-2024
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,29,1993,17.5,1,31,5,16.1,1.77,0.29,0.03,0.2,0,0,bundesliga,2023-2024
52,Hendry Blank,de GER,DF,Dortmund,18,2004,0.5,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
53,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,21.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
54,Sacha Boey,fr FRA,MF,Bayern Munich,22,2000,1.2,0,1,0,0.0,0.83,0.0,0.0,,0,0,bundesliga,2023-2024
55,Victor Boniface,ng NGA,FW,Leverkusen,22,2000,17.2,14,80,34,42.5,4.66,1.98,0.13,0.29,4,4,bundesliga,2023-2024
56,Leonardo Bonucci,it ITA,DF,Union Berlin,36,1987,5.1,1,1,1,100.0,0.2,0.2,0.0,0.0,1,1,bundesliga,2023-2024
