Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
1,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
2,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,la_liga,2021-2022
3,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25,1996,24,17,1616,18.0,0,1,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,la_liga,2021-2022
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,0.6,0.0,0.6,0.6,0.6,la_liga,2021-2022
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
10,Paul Akouokou,ci CIV,MF,Real Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
11,David Alaba,at AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,0.07,0.1,0.17,0.07,0.17,la_liga,2021-2022
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,la_liga,2021-2022
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,0.07,0.34,0.41,0.07,0.41,la_liga,2021-2022
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,0.11,0.34,0.46,0.11,0.46,la_liga,2021-2022
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,2,0,0,7,0,0.16,0.0,0.16,0.16,0.16,la_liga,2021-2022
17,Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,2,2,0,0,15,0,0.07,0.0,0.07,0.07,0.07,la_liga,2021-2022
18,Iván Alejo,es ESP,MF,Cádiz,26,1995,20,11,1065,11.8,2,2,4,2,0,0,7,0,0.17,0.17,0.34,0.17,0.34,la_liga,2021-2022
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,3,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,la_liga,2021-2022
20,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
21,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
22,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,4,1,0,0,2,1,0.08,0.25,0.33,0.08,0.33,la_liga,2021-2022
23,Emmanuel Amankwaa Akurugu,gh GHA,MF,Getafe,19,2001,3,1,79,0.9,0,1,1,0,0,0,0,0,0.0,1.14,1.14,0.0,1.14,la_liga,2021-2022
24,Amath,sn SEN,"MF,FW",Mallorca,25,1996,19,9,884,9.8,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,la_liga,2021-2022
25,Florin Andone,ro ROU,FW,Cádiz,28,1993,5,1,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
26,Marcos André,br BRA,"FW,MF",Valencia,24,1996,29,8,973,10.8,1,3,4,1,0,0,3,0,0.09,0.28,0.37,0.09,0.37,la_liga,2021-2022
27,José Ángel,es ESP,DF,Osasuna,31,1989,23,12,1083,12.0,1,1,2,1,0,0,2,1,0.08,0.08,0.17,0.08,0.17,la_liga,2021-2022
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,31,31,2663,29.6,0,5,5,0,0,0,13,0,0.0,0.17,0.17,0.0,0.17,la_liga,2021-2022
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,34,29,2617,29.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,25,2272,25.2,4,0,4,4,0,0,6,0,0.16,0.0,0.16,0.16,0.16,la_liga,2021-2022
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,3,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
33,Matias Arezo,uy URU,FW,Granada,18,2002,8,1,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
34,Santiago Arias,co COL,DF,Granada,29,1992,12,4,440,4.9,1,0,1,1,0,0,1,0,0.2,0.0,0.2,0.2,0.2,la_liga,2021-2022
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,14,5,469,5.2,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19,la_liga,2021-2022
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,31,19,1731,19.2,10,0,10,10,0,0,2,0,0.52,0.0,0.52,0.52,0.52,la_liga,2021-2022
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,36,3087,34.3,18,5,23,15,3,5,9,0,0.52,0.15,0.67,0.44,0.58,la_liga,2021-2022
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,1082,12.0,11,1,12,11,0,0,0,0,0.91,0.08,1.0,0.91,1.0,la_liga,2021-2022
41,Ludwig Augustinsson,se SWE,"DF,MF",Sevilla,27,1994,19,9,793,8.8,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,la_liga,2021-2022
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,10,1010,11.2,0,1,1,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09,la_liga,2021-2022
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,36,22,1870,20.8,6,1,7,5,1,1,9,1,0.29,0.05,0.34,0.24,0.29,la_liga,2021-2022
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,26,23,1934,21.5,2,0,2,2,0,0,9,0,0.09,0.0,0.09,0.09,0.09,la_liga,2021-2022
45,Carlos Bacca,co COL,FW,Granada,34,1986,17,4,513,5.7,0,1,1,0,0,0,3,0,0.0,0.18,0.18,0.0,0.18,la_liga,2021-2022
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
47,Miguel Baeza,es ESP,MF,Celta Vigo,21,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
48,Alejandro Balde,es ESP,DF,Barcelona,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,5,4,280,3.1,1,0,1,1,0,0,2,0,0.32,0.0,0.32,0.32,0.32,la_liga,2021-2022
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,26,23,2027,22.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,35,3147,35.0,1,2,3,1,0,0,10,1,0.03,0.06,0.09,0.03,0.09,la_liga,2021-2022
52,Barbero,es ESP,FW,Osasuna,22,1998,6,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
53,Barcia,es ESP,DF,Granada,20,2000,1,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,30,17,1701,18.9,3,3,6,1,2,2,3,0,0.16,0.16,0.32,0.05,0.21,la_liga,2021-2022
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,25,18,1481,16.5,1,1,2,1,0,0,9,0,0.06,0.06,0.12,0.06,0.12,la_liga,2021-2022
56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,21,9,865,9.6,2,0,2,2,0,0,2,0,0.21,0.0,0.21,0.21,0.21,la_liga,2021-2022
57,Antonio Barragán,es ESP,DF,Elche,34,1987,16,12,1020,11.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
58,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,19,2001,11,6,547,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,la_liga,2021-2022
59,Marc Bartra,es ESP,DF,Real Betis,30,1991,23,23,1993,22.1,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05,la_liga,2021-2022
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,6,2,197,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,26,12,1179,13.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
62,Jon Bautista,es ESP,FW,Real Sociedad,26,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
63,Bebé,cv CPV,MF,Rayo Vallecano,31,1990,29,6,867,9.6,1,2,3,1,0,0,2,0,0.1,0.21,0.31,0.1,0.31,la_liga,2021-2022
64,Héctor Bellerín,es ESP,DF,Real Betis,26,1995,23,22,1979,22.0,0,2,2,0,0,0,2,1,0.0,0.09,0.09,0.0,0.09,la_liga,2021-2022
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,37,31,2597,28.9,1,0,1,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,la_liga,2021-2022
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,14,6,590,6.6,2,1,3,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,la_liga,2021-2022
