Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,la_liga,2021-2022
2,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6.0,9,1.5,27,19,70.4,2,2,2,0,0.0,1,1,0,0,0.0,la_liga,2021-2022
3,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24.0,35,1.46,105,78,73.3,8,5,11,5,20.8,9,7,1,1,12.5,la_liga,2021-2022
4,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,2790,31.0,24,0.77,95,74,76.8,14,13,4,13,41.9,4,2,1,1,33.3,la_liga,2021-2022
5,Claudio Bravo,cl CHI,GK,Real Betis,38,1983,17,17,1456,16.2,19,1.17,57,39,68.4,8,4,5,5,29.4,1,1,0,0,0.0,la_liga,2021-2022
6,Dani Cárdenas,es ESP,GK,Levante,24,1997,24,24,2160,24.0,46,1.92,116,74,63.8,6,6,12,5,20.8,4,4,0,0,0.0,la_liga,2021-2022
7,Kiko Casilla,es ESP,GK,Elche,34,1986,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,,la_liga,2021-2022
8,Jasper Cillessen,nl NED,GK,Valencia,32,1989,17,17,1457,16.2,29,1.79,72,49,66.7,4,8,5,3,17.6,6,5,1,0,16.7,la_liga,2021-2022
9,Diego Conde,es ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,la_liga,2021-2022
10,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,36,3240,36.0,29,0.81,117,91,76.9,26,7,3,16,44.4,3,2,1,0,33.3,la_liga,2021-2022
11,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,la_liga,2021-2022
12,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,31,30,2772,30.8,37,1.2,118,89,74.6,11,8,11,9,30.0,9,7,2,0,22.2,la_liga,2021-2022
13,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38,38,3420,38.0,43,1.13,127,92,69.3,12,10,16,14,36.8,8,4,4,0,50.0,la_liga,2021-2022
14,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6,6,540,6.0,5,0.83,20,14,75.0,4,2,0,4,66.7,0,0,0,0,,la_liga,2021-2022
15,Jaume Doménech,es ESP,GK,Valencia,30,1990,4,3,343,3.8,4,1.05,12,8,66.7,2,0,1,1,33.3,0,0,0,0,,la_liga,2021-2022
16,Aarón Escandell,es ESP,GK,Granada,25,1995,4,3,284,3.2,6,1.9,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0,la_liga,2021-2022
17,Aitor Fernández,es ESP,GK,Levante,30,1991,13,13,1166,13.0,29,2.24,78,51,64.1,1,5,7,2,15.4,2,1,1,0,50.0,la_liga,2021-2022
18,Joan García,es ESP,GK,Espanyol,20,2001,2,1,108,1.2,3,2.5,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,la_liga,2021-2022
19,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,la_liga,2021-2022
20,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36,36,3240,36.0,48,1.33,140,99,68.6,12,10,14,12,33.3,7,4,3,0,42.9,la_liga,2021-2022
21,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38,38,3420,38.0,51,1.34,157,118,74.5,8,15,15,13,34.2,13,11,2,0,15.4,la_liga,2021-2022
22,Diego López,es ESP,GK,Espanyol,39,1981,36,36,3177,35.3,49,1.39,160,111,71.3,10,12,14,10,27.8,4,3,0,1,0.0,la_liga,2021-2022
