Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,0,2,1,50.0,0.32,0.16,0.0,0.0,0,0,la_liga,2021-2022
2,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29,1991,25.1,1,16,5,31.3,0.64,0.2,0.06,0.2,0,0,la_liga,2021-2022
3,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25,1996,18.0,0,4,0,0.0,0.22,0.0,0.0,,0,0,la_liga,2021-2022
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,1,6,1,16.7,3.58,0.6,0.17,1.0,0,0,la_liga,2021-2022
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,0,6,1,16.7,0.2,0.03,0.0,0.0,0,0,la_liga,2021-2022
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,0,10,1,10.0,0.49,0.05,0.0,0.0,0,0,la_liga,2021-2022
9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,1.4,0,4,2,50.0,2.9,1.45,0.0,0.0,0,0,la_liga,2021-2022
10,Paul Akouokou,ci CIV,MF,Real Betis,23,1997,5.7,0,2,0,0.0,0.35,0.0,0.0,,0,0,la_liga,2021-2022
11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,2,21,7,33.3,0.72,0.24,0.1,0.29,0,0,la_liga,2021-2022
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,0,15,2,13.3,0.95,0.13,0.0,0.0,0,0,la_liga,2021-2022
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2,31,6,19.4,1.06,0.2,0.06,0.33,0,0,la_liga,2021-2022
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,0,5,1,20.0,0.18,0.04,0.0,0.0,0,0,la_liga,2021-2022
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,1,18,6,33.3,2.06,0.69,0.06,0.17,0,0,la_liga,2021-2022
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,2,23,6,26.1,1.87,0.49,0.09,0.33,0,0,la_liga,2021-2022
17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,2,17,5,29.4,0.64,0.19,0.12,0.4,0,0,la_liga,2021-2022
18,Iván Alejo,es ESP,MF,Cádiz,26,1995,11.8,2,12,4,33.3,1.01,0.34,0.17,0.5,0,0,la_liga,2021-2022
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,1,46,14,30.4,1.78,0.54,0.02,0.07,0,0,la_liga,2021-2022
20,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,18,2003,0.1,0,1,0,0.0,8.18,0.0,0.0,,0,0,la_liga,2021-2022
21,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,0,7,0,0.0,0.34,0.0,0.0,,0,0,la_liga,2021-2022
22,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,1,5,2,40.0,0.41,0.16,0.2,0.5,0,0,la_liga,2021-2022
23,Emmanuel Amankwaa Akurugu,gh GHA,MF,Getafe,19,2001,0.9,0,1,0,0.0,1.14,0.0,0.0,,0,0,la_liga,2021-2022
24,Amath,sn SEN,"MF,FW",Mallorca,25,1996,9.8,0,10,3,30.0,1.02,0.31,0.0,0.0,0,0,la_liga,2021-2022
25,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,0,3,1,33.3,1.53,0.51,0.0,0.0,0,0,la_liga,2021-2022
26,Marcos André,br BRA,"FW,MF",Valencia,24,1996,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,0,0,la_liga,2021-2022
27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,1,11,3,27.3,0.91,0.25,0.09,0.33,0,0,la_liga,2021-2022
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,0,37,8,21.6,1.25,0.27,0.0,0.0,0,0,la_liga,2021-2022
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,0,8,1,12.5,0.28,0.03,0.0,0.0,0,0,la_liga,2021-2022
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,4,18,10,55.6,0.71,0.4,0.22,0.4,0,0,la_liga,2021-2022
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
33,Matias Arezo,uy URU,FW,Granada,18,2002,1.8,0,5,3,60.0,2.78,1.67,0.0,0.0,0,0,la_liga,2021-2022
34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,1,3,1,33.3,0.61,0.2,0.33,1.0,0,0,la_liga,2021-2022
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,1,7,1,14.3,1.34,0.19,0.14,1.0,0,0,la_liga,2021-2022
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,0,0,la_liga,2021-2022
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,19.2,10,64,34,53.1,3.33,1.77,0.16,0.29,0,0,la_liga,2021-2022
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,18,90,41,45.6,2.62,1.2,0.17,0.37,3,5,la_liga,2021-2022
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12.0,11,36,19,52.8,2.99,1.58,0.31,0.58,0,0,la_liga,2021-2022
41,Ludwig Augustinsson,se SWE,"DF,MF",Sevilla,27,1994,8.8,0,4,2,50.0,0.45,0.23,0.0,0.0,0,0,la_liga,2021-2022
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,0,11,2,18.2,0.98,0.18,0.0,0.0,0,0,la_liga,2021-2022
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,20.8,6,63,16,25.4,3.03,0.77,0.08,0.31,1,1,la_liga,2021-2022
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,2,23,9,39.1,1.07,0.42,0.09,0.22,0,0,la_liga,2021-2022
45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,0,9,2,22.2,1.58,0.35,0.0,0.0,0,0,la_liga,2021-2022
46,Édgar Badía,es ESP,GK,Elche,29,1992,24.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
47,Miguel Baeza,es ESP,MF,Celta Vigo,21,2000,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
48,Alejandro Balde,es ESP,DF,Barcelona,17,2003,2.1,0,1,0,0.0,0.48,0.0,0.0,,0,0,la_liga,2021-2022
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,1,15,6,40.0,4.82,1.93,0.07,0.17,0,0,la_liga,2021-2022
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,0,7,2,28.6,0.31,0.09,0.0,0.0,0,0,la_liga,2021-2022
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35.0,1,15,3,20.0,0.43,0.09,0.07,0.33,0,0,la_liga,2021-2022
52,Barbero,es ESP,FW,Osasuna,22,1998,0.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
