Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
46,Sergio Arribas,es ESP,DF,Real Betis,21,2003,1.0,0,0,0,0,0,0,0,3,4,,,0,la_liga,2024-2025
47,Takuma Asano,jp JPN,"MF,FW",Mallorca,29,1994,11.7,0,0,0,5,15,6,20,8,9,,,0,la_liga,2024-2025
48,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,3,0,0,12,19,1,0,16,17,,,0,la_liga,2024-2025
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,6,1,1,16,34,5,16,8,7,,,0,la_liga,2024-2025
50,Yaser Asprilla,co COL,"MF,FW",Girona,20,2003,15.6,2,0,0,12,23,1,93,7,12,,,0,la_liga,2024-2025
51,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,30,1994,7.5,5,1,0,13,18,5,29,3,5,,,0,la_liga,2024-2025
52,Adam Aznou,ma MAR,"DF,MF",Valladolid,18,2006,9.7,1,0,0,14,17,0,11,10,22,,,0,la_liga,2024-2025
53,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,1,0,0,8,6,3,5,6,14,,,0,la_liga,2024-2025
54,Papa Ba,es ESP,FW,Girona,19,2004,0.5,0,0,0,1,4,0,1,0,1,,,0,la_liga,2024-2025
55,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,7,1,0,26,10,0,8,27,27,,,0,la_liga,2024-2025
56,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,9,0,0,43,47,5,208,23,16,,,0,la_liga,2024-2025
57,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,2,1,0,7,1,0,0,6,4,,,0,la_liga,2024-2025
58,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,4,0,0,21,14,0,4,15,14,,,0,la_liga,2024-2025
59,Cédric Bakambu,cd COD,FW,Real Betis,33,1991,7.9,4,0,0,23,7,12,3,0,3,,,0,la_liga,2024-2025
60,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,2,0,0,16,37,0,68,7,10,,,0,la_liga,2024-2025
61,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,3,0,0,19,15,1,20,12,15,,,0,la_liga,2024-2025
62,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,28,1996,9.0,1,0,0,7,17,4,25,4,7,,,0,la_liga,2024-2025
63,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,0,0,0,0,2,0,0,0,1,,,0,la_liga,2024-2025
64,Valentín Barco,ar ARG,DF,Sevilla,20,2004,3.2,0,0,0,7,5,0,25,2,9,,,0,la_liga,2024-2025
65,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2024-2025
66,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,3,0,0,9,4,1,37,3,4,,,0,la_liga,2024-2025
67,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,6,0,0,25,47,0,3,27,30,,,0,la_liga,2024-2025
68,Ander Barrenetxea,es ESP,MF,Real Sociedad,22,2001,14.0,6,0,0,33,13,6,52,11,19,,,0,la_liga,2024-2025
