Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,bundesliga,2021-2022
2,Ragnar Ache,de GER,MF,Eintracht Frankfurt,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35,bundesliga,2021-2022
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,1351,15.0,0,1,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,bundesliga,2021-2022
4,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,28,1993,13,2,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,bundesliga,2021-2022
5,Amine Adli,ma MAR,"MF,FW",Leverkusen,21,2000,25,13,1256,14.0,3,2,5,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,bundesliga,2021-2022
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2021-2022
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,2261,25.1,1,0,1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,bundesliga,2021-2022
8,Kevin Akpoguma,ng NGA,"DF,MF",Hoffenheim,26,1995,26,19,1527,17.0,2,2,4,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,bundesliga,2021-2022
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,0.82,0.0,0.82,0.82,0.82,bundesliga,2021-2022
10,Nadiem Amiri,de GER,MF,Leverkusen,24,1996,13,3,369,4.1,1,0,1,1,0,0,0,0,0.24,0.0,0.24,0.24,0.24,bundesliga,2021-2022
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,13,1257,14.0,3,1,4,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,bundesliga,2021-2022
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,12,1046,11.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2021-2022
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2021-2022
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,21,1817,20.2,4,2,6,4,0,0,5,1,0.2,0.1,0.3,0.2,0.3,bundesliga,2021-2022
15,Angeliño,es ESP,"MF,DF",RB Leipzig,24,1997,29,26,2298,25.5,2,5,7,2,0,0,3,0,0.08,0.2,0.27,0.08,0.27,bundesliga,2021-2022
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,29,2595,28.8,2,1,3,2,0,0,6,1,0.07,0.03,0.1,0.07,0.1,bundesliga,2021-2022
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,12,1130,12.6,1,1,2,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,bundesliga,2021-2022
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,26,16,1578,17.5,1,4,5,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,bundesliga,2021-2022
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,34,2994,33.3,4,2,6,4,0,0,4,0,0.12,0.06,0.18,0.12,0.18,bundesliga,2021-2022
