Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
361,Benjamin Pavard,fr FRA,"DF,MF",Bayern Munich,25,1996,23.1,0,18,3,16.7,0.78,0.13,0.0,0.0,0,0,bundesliga,2021-2022
362,Mads Pedersen,dk DEN,"MF,DF",Augsburg,24,1996,15.5,2,19,6,31.6,1.23,0.39,0.11,0.33,0,0,bundesliga,2021-2022
363,Peter Pekarík,sk SVK,DF,Hertha BSC,34,1986,24.8,0,10,3,30.0,0.4,0.12,0.0,0.0,0,0,bundesliga,2021-2022
364,Philipp Pentke,de GER,GK,Hoffenheim,36,1985,1.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
365,Ricardo Pepi,us USA,"FW,MF",Augsburg,18,2003,5.3,0,8,5,62.5,1.51,0.94,0.0,0.0,0,0,bundesliga,2021-2022
366,Pavao Pervan,at AUT,GK,Wolfsburg,33,1987,6.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
367,Nils Petersen,de GER,FW,Freiburg,32,1988,6.4,5,14,5,35.7,2.17,0.78,0.36,1.0,0,0,bundesliga,2021-2022
368,Jens Petter Hauge,no NOR,"MF,FW",Eintracht Frankfurt,21,1999,11.6,2,19,10,52.6,1.64,0.87,0.11,0.2,0,0,bundesliga,2021-2022
369,Immanuel Pherai,sr SUR,"FW,MF",Dortmund,20,2001,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
370,Maximilian Philipp,de GER,MF,Wolfsburg,27,1994,10.7,1,15,1,6.7,1.4,0.09,0.07,1.0,0,0,bundesliga,2021-2022
371,Krzysztof Piątek,pl POL,FW,Hertha BSC,26,1995,3.9,1,12,5,41.7,3.11,1.3,0.08,0.2,0,0,bundesliga,2021-2022
372,Amos Pieper,de GER,DF,Arminia,23,1998,26.4,0,14,2,14.3,0.53,0.08,0.0,0.0,0,0,bundesliga,2021-2022
373,Marvin Plattenhardt,de GER,"DF,MF",Hertha BSC,29,1992,18.2,0,7,1,14.3,0.38,0.05,0.0,0.0,0,0,bundesliga,2021-2022
374,Alassane Pléa,fr FRA,"MF,FW",Gladbach,28,1993,23.0,10,62,27,43.5,2.7,1.17,0.11,0.26,3,3,bundesliga,2021-2022
375,Joel Pohjanpalo,fi FIN,FW,Leverkusen,26,1994,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
376,Sebastian Polter,de GER,FW,Bochum,30,1991,26.0,10,56,23,41.1,2.15,0.88,0.16,0.39,1,2,bundesliga,2021-2022
377,Marin Pongračić,hr CRO,DF,Dortmund,23,1997,9.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
378,Stefan Posch,at AUT,DF,Hoffenheim,24,1997,24.4,2,14,7,50.0,0.57,0.29,0.14,0.29,0,0,bundesliga,2021-2022
379,Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,27,1994,12.0,6,28,13,46.4,2.34,1.08,0.21,0.46,0,0,bundesliga,2021-2022
380,Manuel Prietl,at AUT,"MF,DF",Arminia,29,1991,23.6,0,17,4,23.5,0.72,0.17,0.0,0.0,0,0,bundesliga,2021-2022
381,Grischa Prömel,de GER,MF,Union Berlin,26,1995,26.9,8,37,12,32.4,1.37,0.45,0.22,0.67,0,0,bundesliga,2021-2022
382,Nick Proschwitz,de GER,FW,Hoffenheim,34,1986,0.3,0,1,0,0.0,3.33,0.0,0.0,,0,0,bundesliga,2021-2022
383,Afimico Pululu,cd COD,"FW,MF",Greuther Fürth,22,1999,0.8,0,1,0,0.0,1.29,0.0,0.0,,0,0,bundesliga,2021-2022
384,Sidney Raebiger,de GER,MF,RB Leipzig,16,2005,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
385,Diant Ramaj,de GER,GK,Eintracht Frankfurt,19,2001,1.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
386,Guilherme Ramos,pt POR,DF,Arminia,23,1997,10.1,0,7,3,42.9,0.7,0.3,0.0,0.0,0,0,bundesliga,2021-2022
387,Tobias Raschl,de GER,MF,Greuther Fürth,21,2000,6.6,0,5,1,20.0,0.75,0.15,0.0,0.0,0,0,bundesliga,2021-2022
388,David Raum,de GER,"MF,DF",Hoffenheim,23,1998,30.6,3,24,8,33.3,0.78,0.26,0.13,0.38,0,0,bundesliga,2021-2022
389,Reinier,br BRA,MF,Dortmund,19,2002,1.8,0,1,0,0.0,0.56,0.0,0.0,,0,0,bundesliga,2021-2022
