Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33,33,2970,33.0,57,1.73,152,98,63.8,12,7,14,8,24.2,4,2,1,1,33.3,bundesliga,2021-2022
2,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4,4,360,4.0,7,1.75,25,18,72.0,0,2,2,0,0.0,0,0,0,0,,bundesliga,2021-2022
3,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14,14,1260,14.0,28,2.0,71,46,64.8,2,4,8,3,21.4,3,3,0,0,0.0,bundesliga,2021-2022
4,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1,1,90,1.0,1,1.0,0,0,,1,0,0,0,0.0,1,1,0,0,0.0,bundesliga,2021-2022
5,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28,28,2520,28.0,40,1.43,112,76,67.0,11,6,11,10,35.7,6,3,2,1,40.0,bundesliga,2021-2022
6,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2,2,180,2.0,3,1.5,4,2,50.0,1,1,0,0,0.0,1,1,0,0,0.0,bundesliga,2021-2022
7,Michael Esser,de GER,GK,Bochum,33,1987,3,3,270,3.0,7,2.33,19,14,73.7,2,0,1,0,0.0,2,2,0,0,0.0,bundesliga,2021-2022
8,Mark Flekken,nl NED,GK,Freiburg,28,1993,32,32,2880,32.0,39,1.22,140,103,73.6,15,9,8,10,31.3,2,2,0,0,0.0,bundesliga,2021-2022
9,Christian Früchtl,de GER,GK,Bayern Munich,21,2000,1,0,10,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,bundesliga,2021-2022
10,Marius Funk,de GER,GK,Greuther Fürth,25,1996,8,8,720,8.0,30,3.75,54,26,48.1,0,0,8,0,0.0,2,2,0,0,0.0,bundesliga,2021-2022
11,Rafał Gikiewicz,pl POL,GK,Augsburg,33,1987,34,34,3060,34.0,56,1.65,154,103,66.9,10,8,16,9,26.5,5,5,0,0,0.0,bundesliga,2021-2022
12,Jens Grahl,de GER,GK,Eintracht Frankfurt,32,1988,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,bundesliga,2021-2022
13,Lennart Grill,de GER,GK,Leverkusen,22,1999,1,1,90,1.0,2,2.0,7,5,71.4,1,0,0,0,0.0,0,0,0,0,,bundesliga,2021-2022
14,Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,33,33,2967,33.0,34,1.03,109,78,71.6,17,7,9,10,30.3,3,3,0,0,0.0,bundesliga,2021-2022
15,Marwin Hitz,ch SUI,GK,Dortmund,33,1987,5,4,405,4.5,12,2.67,24,14,58.3,1,0,3,0,0.0,2,2,0,0,0.0,bundesliga,2021-2022
16,Timo Horn,de GER,GK,Köln,28,1993,13,13,1170,13.0,21,1.62,57,36,63.2,4,6,3,1,7.7,0,0,0,0,,bundesliga,2021-2022
17,Lukáš Hrádecký,fi FIN,GK,Leverkusen,31,1989,32,32,2880,32.0,44,1.37,151,110,72.2,17,7,8,8,25.0,4,2,1,1,33.3,bundesliga,2021-2022
18,Stefanos Kapino,gr GRE,GK,Arminia,27,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,bundesliga,2021-2022
19,Gregor Kobel,ch SUI,GK,Dortmund,23,1997,29,29,2565,28.5,39,1.37,110,74,67.3,20,3,6,7,24.1,3,3,0,0,0.0,bundesliga,2021-2022
20,Andreas Linde,se SWE,GK,Greuther Fürth,28,1993,12,12,1080,12.0,24,2.0,62,39,62.9,1,5,6,3,25.0,1,1,0,0,0.0,bundesliga,2021-2022
21,Marcel Lotka,pl POL,GK,Hertha BSC,20,2001,10,9,885,9.8,20,2.03,45,28,62.2,2,1,6,2,22.2,3,3,0,0,0.0,bundesliga,2021-2022
22,Andrey Lunyov,ru RUS,GK,Leverkusen,29,1991,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,bundesliga,2021-2022
