Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,0,0,0,1,1,0,0,0,0,,,0,la_liga,2023-2024
2,Abner,br BRA,DF,Real Betis,23,2000,15.6,3,0,0,17,2,2,26,16,18,,,0,la_liga,2023-2024
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,10,0,0,32,23,1,2,25,21,,,1,la_liga,2023-2024
4,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31,1991,14.4,7,0,0,18,17,1,84,3,20,,,0,la_liga,2023-2024
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,0,0,0,0,0,0,0,0,0,,,0,la_liga,2023-2024
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,3,0,0,19,2,0,3,7,16,,,0,la_liga,2023-2024
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,4.5,0,0,0,4,0,0,0,3,3,,,0,la_liga,2023-2024
8,Ilias Akhomach,ma MAR,MF,Villarreal,19,2004,16.8,4,0,0,42,34,4,29,13,21,,,0,la_liga,2023-2024
9,Sergio Akieme,es ESP,"DF,MF",Almería,25,1997,18.6,2,0,0,18,17,1,56,10,15,,,0,la_liga,2023-2024
10,Paul Akouokou,ci CIV,MF,Real Betis,25,1997,0.3,0,0,0,1,1,0,0,1,3,,,0,la_liga,2023-2024
11,David Alaba,at AUT,DF,Real Madrid,31,1992,12.8,2,0,0,4,0,0,17,15,9,,,1,la_liga,2023-2024
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,22.6,6,0,0,21,8,1,0,17,15,,,0,la_liga,2023-2024
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,34.8,14,0,0,84,71,1,36,30,65,,,0,la_liga,2023-2024
14,Omar Alderete,py PAR,DF,Getafe,26,1996,24.4,8,1,0,34,11,2,5,14,20,,,0,la_liga,2023-2024
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,18.8,17,0,0,49,49,8,151,6,23,,,0,la_liga,2023-2024
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,11.3,6,0,0,22,18,3,32,4,9,,,0,la_liga,2023-2024
17,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19,2004,2.8,0,0,0,5,6,3,11,1,3,,,0,la_liga,2023-2024
18,Tadeo Allende,ar ARG,MF,Celta Vigo,24,1999,3.7,1,0,0,2,3,4,9,3,2,,,0,la_liga,2023-2024
19,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23,2000,10.7,0,0,0,12,20,1,16,3,14,,,0,la_liga,2023-2024
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,2.8,0,0,0,7,6,0,15,3,3,,,0,la_liga,2023-2024
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,8.6,3,0,0,12,4,0,5,5,7,,,0,la_liga,2023-2024
22,Sergi Altimira,es ESP,MF,Real Betis,21,2001,6.3,1,0,0,8,8,0,1,8,8,,,0,la_liga,2023-2024
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,28.2,7,0,0,43,10,1,25,34,38,,,0,la_liga,2023-2024
