Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Nabil Aberdin,fr FRA,DF,Getafe,20.0,2002.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,3,0.0,1.0,3.0,-2.0,-1.0,-0.72,la_liga,2023-2024
2,Abner,br BRA,DF,Real Betis,23.0,2000.0,23,1400.0,61.0,40.9,15.6,15,82.0,12,8,22.0,10,1.61,20.0,20.0,0.0,0.0,-0.13,la_liga,2023-2024
3,Abdel Abqar,ma MAR,DF,Alavés,24.0,1999.0,27,2312.0,86.0,67.6,25.7,27,86.0,23,0,,4,1.07,21.0,30.0,-9.0,-0.35,-0.27,la_liga,2023-2024
4,Vicent Abril,es ESP,GK,Valencia,18.0,2005.0,0,,,,,0,,0,0,,5,,,,,,,la_liga,2023-2024
5,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31.0,1991.0,21,1292.0,62.0,37.8,14.4,18,69.0,5,3,19.0,2,1.14,20.0,21.0,-1.0,-0.07,0.14,la_liga,2023-2024
6,Julen Agirrezabala,es ESP,GK,Athletic Club,22.0,2000.0,4,238.0,60.0,7.0,2.6,2,90.0,2,2,29.0,34,1.5,3.0,4.0,-1.0,-0.38,-1.09,la_liga,2023-2024
7,Lucien Agoume,fr FRA,MF,Sevilla,21.0,2002.0,12,777.0,65.0,22.7,8.6,9,79.0,5,3,22.0,1,1.42,11.0,12.0,-1.0,-0.12,0.05,la_liga,2023-2024
8,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.0,1995.0,6,407.0,68.0,11.9,4.5,4,90.0,4,2,24.0,3,0.83,3.0,6.0,-3.0,-0.66,-0.42,la_liga,2023-2024
9,Ilias Akhomach,ma MAR,MF,Villarreal,19.0,2004.0,31,1511.0,49.0,44.2,16.8,17,70.0,2,14,23.0,6,1.45,26.0,33.0,-7.0,-0.42,-0.75,la_liga,2023-2024
10,Sergio Akieme,es ESP,"DF,MF",Almería,25.0,1997.0,19,1675.0,88.0,49.0,18.6,19,88.0,18,0,,1,0.32,17.0,36.0,-19.0,-1.02,-0.35,la_liga,2023-2024
11,Paul Akouokou,ci CIV,MF,Real Betis,25.0,1997.0,2,27.0,14.0,0.8,0.3,0,,0,2,14.0,1,1.5,1.0,1.0,0.0,0.0,-0.08,la_liga,2023-2024
12,David Alaba,at AUT,DF,Real Madrid,31.0,1992.0,14,1154.0,82.0,33.7,12.8,14,82.0,12,0,,1,2.36,23.0,10.0,13.0,1.01,-0.89,la_liga,2023-2024
13,Raúl Albiol,es ESP,DF,Villarreal,37.0,1985.0,26,2031.0,78.0,59.4,22.6,24,82.0,18,2,35.0,4,1.15,34.0,36.0,-2.0,-0.09,-0.22,la_liga,2023-2024
14,Rubén Alcaraz,es ESP,MF,Cádiz,32.0,1991.0,36,3134.0,87.0,91.6,34.8,36,87.0,29,0,,0,0.89,26.0,49.0,-23.0,-0.66,1.23,la_liga,2023-2024
