match_id,round,page_url,match_date,finished,home_team,home_id,away_team,away_id
4193450,1,/matches/burnley-vs-manchester-city/2ai7j8#4193450,2023-08-11T19:00:00Z,True,Burnley,8191,Manchester City,8456
4193451,1,/matches/arsenal-vs-nottingham-forest/3bf4p3#4193451,2023-08-12T12:00:00Z,True,Arsenal,9825,Nottingham Forest,10203
4193452,1,/matches/west-ham-united-vs-afc-bournemouth/2hfnrc#4193452,2023-08-12T14:00:00Z,True,AFC Bournemouth,8678,West Ham United,8654
4193453,1,/matches/luton-town-vs-brighton-hove-albion/2ug16v#4193453,2023-08-12T14:00:00Z,True,Brighton & Hove Albion,10204,Luton Town,8346
4193454,1,/matches/everton-vs-fulham/2uevfp#4193454,2023-08-12T14:00:00Z,True,Everton,8668,Fulham,9879
4193455,1,/matches/sheffield-united-vs-crystal-palace/2tph1s#4193455,2023-08-12T14:00:00Z,True,Sheffield United,8657,Crystal Palace,9826
4193456,1,/matches/aston-villa-vs-newcastle-united/3h9v0m#4193456,2023-08-12T16:30:00Z,True,Newcastle United,10261,Aston Villa,10252
4193457,1,/matches/tottenham-hotspur-vs-brentford/2u5c8b#4193457,2023-08-13T13:00:00Z,True,Brentford,9937,Tottenham Hotspur,8586
4193458,1,/matches/chelsea-vs-liverpool/2f3vr7#4193458,2023-08-13T15:30:00Z,True,Chelsea,8455,Liverpool,8650
4193459,1,/matches/wolverhampton-wanderers-vs-manchester-united/2xx4sz#4193459,2023-08-14T19:00:00Z,True,Manchester United,10260,Wolverhampton Wanderers,8602
4193555,10,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4193555,2023-10-27T19:00:00Z,True,Crystal Palace,9826,Tottenham Hotspur,8586
4193554,10,/matches/chelsea-vs-brentford/2spihp#4193554,2023-10-28T11:30:00Z,True,Chelsea,8455,Brentford,9937
4193550,10,/matches/burnley-vs-afc-bournemouth/2cpydh#4193550,2023-10-28T14:00:00Z,True,AFC Bournemouth,8678,Burnley,8191
4193551,10,/matches/sheffield-united-vs-arsenal/2tp2sc#4193551,2023-10-28T14:00:00Z,True,Arsenal,9825,Sheffield United,8657
4193559,10,/matches/wolverhampton-wanderers-vs-newcastle-united/2xxjcy#4193559,2023-10-28T16:30:00Z,True,Wolverhampton Wanderers,8602,Newcastle United,10261
4193558,10,/matches/west-ham-united-vs-everton/2hby1v#4193558,2023-10-29T13:00:00Z,True,West Ham United,8654,Everton,8668
4193552,10,/matches/luton-town-vs-aston-villa/2uz54v#4193552,2023-10-29T14:00:00Z,True,Aston Villa,10252,Luton Town,8346
4193553,10,/matches/fulham-vs-brighton-hove-albion/3c2rvp#4193553,2023-10-29T14:00:00Z,True,Brighton & Hove Albion,10204,Fulham,9879
4193556,10,/matches/liverpool-vs-nottingham-forest/2xthvt#4193556,2023-10-29T14:00:00Z,True,Liverpool,8650,Nottingham Forest,10203
4193557,10,/matches/manchester-city-vs-manchester-united/2wabz2#4193557,2023-10-29T15:30:00Z,True,Manchester United,10260,Manchester City,8456
4193563,11,/matches/fulham-vs-manchester-united/3cqww9#4193563,2023-11-04T12:30:00Z,True,Fulham,9879,Manchester United,10260
4193560,11,/matches/west-ham-united-vs-brentford/2uwdxd#4193560,2023-11-04T15:00:00Z,True,Brentford,9937,West Ham United,8654
4193561,11,/matches/burnley-vs-crystal-palace/2on6r7#4193561,2023-11-04T15:00:00Z,True,Burnley,8191,Crystal Palace,9826
4193562,11,/matches/everton-vs-brighton-hove-albion/2y16fs#4193562,2023-11-04T15:00:00Z,True,Everton,8668,Brighton & Hove Albion,10204
4193565,11,/matches/manchester-city-vs-afc-bournemouth/2feiv3#4193565,2023-11-04T15:00:00Z,True,Manchester City,8456,AFC Bournemouth,8678
4193568,11,/matches/wolverhampton-wanderers-vs-sheffield-united/2golib#4193568,2023-11-04T15:00:00Z,True,Sheffield United,8657,Wolverhampton Wanderers,8602
4193566,11,/matches/arsenal-vs-newcastle-united/3c42by#4193566,2023-11-04T17:30:00Z,True,Newcastle United,10261,Arsenal,9825
