Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
45,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Barcelona,33,1989,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2022-2023
46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,0,0,0,1,1,0,6,1,1,,,0,la_liga,2022-2023
47,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,19.0,7,1,0,25,35,14,80,9,5,,,0,la_liga,2022-2023
48,Iddrisu Baba,gh GHA,MF,Mallorca,26,1996,18.9,5,0,0,31,30,0,1,11,17,,,0,la_liga,2022-2023
49,Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,5,0,0,24,9,2,2,27,19,,,0,la_liga,2022-2023
50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,16.1,4,0,0,13,4,0,4,22,21,,,0,la_liga,2022-2023
51,Édgar Badía,es ESP,GK,Elche,30,1992,36.0,2,0,0,1,6,0,0,0,0,,,0,la_liga,2022-2023
52,Alex Baena,es ESP,"MF,FW",Villarreal,21,2001,21.6,13,1,1,58,56,3,28,7,17,,,0,la_liga,2022-2023
53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,27.5,4,0,0,26,29,5,67,12,32,,,0,la_liga,2022-2023
54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,1.3,0,0,0,3,0,0,3,1,4,,,0,la_liga,2022-2023
55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,35.9,6,0,0,42,34,7,105,24,30,,,2,la_liga,2022-2023
56,Léo Baptistão,br BRA,"FW,MF",Almería,29,1992,19.2,7,0,0,30,23,10,18,18,20,,,0,la_liga,2022-2023
57,Keidi Bare,al ALB,MF,Espanyol,24,1997,5.6,0,0,0,10,13,0,6,11,7,,,0,la_liga,2022-2023
58,Kike Barja,es ESP,"FW,MF",Osasuna,25,1997,14.6,1,0,0,18,15,7,111,5,10,,,0,la_liga,2022-2023
59,Ander Barrenetxea,es ESP,"DF,MF",Real Sociedad,20,2001,9.8,4,0,0,23,14,0,13,5,15,,,0,la_liga,2022-2023
60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,8.0,4,0,0,7,12,0,7,8,11,,,0,la_liga,2022-2023
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,7.6,5,0,0,11,11,0,1,5,6,,,0,la_liga,2022-2023
62,Bebé,cv CPV,"FW,MF",Rayo Vallecano,32,1990,0.7,1,0,0,2,2,0,16,0,0,,,0,la_liga,2022-2023
63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,1.6,0,0,0,2,0,0,3,3,0,,,0,la_liga,2022-2023
64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,31.7,4,0,0,26,16,2,51,53,22,,,0,la_liga,2022-2023
65,Iker Benito,es ESP,MF,Osasuna,19,2002,2.0,0,0,0,2,2,1,6,2,3,,,0,la_liga,2022-2023
