Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0.0,3,3,100.0,0,0,0,0,,0,0,0,0,,la_liga,2022-2023
2,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,7.5,6,0.8,19,13,68.4,1,3,3,2,28.6,0,0,0,0,,la_liga,2022-2023
3,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10,10,900,10.0,21,2.1,51,31,60.8,2,2,6,1,10.0,1,1,0,0,0.0,la_liga,2022-2023
4,Édgar Badía,es ESP,GK,Elche,30,1992,36,36,3240,36.0,63,1.75,189,136,70.4,5,10,21,4,11.1,10,7,3,0,30.0,la_liga,2022-2023
5,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,25,25,2151,23.9,40,1.67,99,62,61.6,7,6,12,4,16.0,3,2,1,0,33.3,la_liga,2022-2023
6,Claudio Bravo,cl CHI,GK,Real Betis,39,1983,12,12,1080,12.0,8,0.67,38,30,81.6,5,5,2,4,33.3,1,1,0,0,0.0,la_liga,2022-2023
7,Juan Carlos,es ESP,GK,Girona,34,1988,10,10,900,10.0,18,1.8,42,26,61.9,2,2,6,0,0.0,2,2,0,0,0.0,la_liga,2022-2023
8,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,31,31,2790,31.0,29,0.94,113,89,77.9,20,5,6,10,32.3,5,4,1,0,20.0,la_liga,2022-2023
9,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28,1993,37,37,3324,36.9,49,1.33,140,94,67.9,13,10,14,9,24.3,5,4,0,1,0.0,la_liga,2022-2023
10,Marko Dmitrović,rs SRB,GK,Sevilla,30,1992,15,13,1269,14.1,13,0.92,57,44,77.2,6,4,3,5,38.5,0,0,0,0,,la_liga,2022-2023
11,Aitor Fernández,es ESP,GK,Osasuna,31,1991,21,21,1890,21.0,19,0.9,78,59,75.6,10,5,6,8,38.1,0,0,0,0,,la_liga,2022-2023
12,Álvaro Fernández,es ESP,GK,Espanyol,24,1998,11,11,990,11.0,18,1.64,52,33,65.4,3,4,4,2,18.2,0,0,0,0,,la_liga,2022-2023
13,Fernando,es ESP,GK,Almería,32,1990,37,37,3285,36.5,61,1.67,188,132,69.7,11,8,18,4,10.8,6,4,1,1,20.0,la_liga,2022-2023
14,Joan García,es ESP,GK,Espanyol,21,2001,1,1,90,1.0,3,3.0,3,1,33.3,0,1,0,0,0.0,1,1,0,0,0.0,la_liga,2022-2023
15,Paulo Gazzaniga,ar ARG,GK,Girona,30,1992,28,28,2520,28.0,37,1.32,124,90,73.4,11,8,9,4,14.3,6,4,1,1,20.0,la_liga,2022-2023
16,David Gil,es ESP,GK,Cádiz,28,1994,4,4,360,4.0,5,1.25,22,18,81.8,1,1,2,1,25.0,1,1,0,0,0.0,la_liga,2022-2023
17,Antonio Gomis,es ESP,GK,Atlético Madrid,19,2003,1,0,6,0.1,1,15.0,1,0,0.0,0,0,0,0,,0,0,0,0,,la_liga,2022-2023
18,Ivo Grbić,hr CRO,GK,Atlético Madrid,26,1996,12,10,922,10.2,12,1.17,45,36,80.0,6,3,1,2,20.0,3,3,0,0,0.0,la_liga,2022-2023
19,Dominik Greif,sk SVK,GK,Mallorca,25,1997,1,1,90,1.0,3,3.0,8,5,62.5,0,0,1,0,0.0,0,0,0,0,,la_liga,2022-2023
20,Sergio Herrera,es ESP,GK,Osasuna,29,1993,17,17,1530,17.0,23,1.35,69,48,68.1,5,3,9,3,17.6,4,1,1,2,50.0,la_liga,2022-2023
21,Filip Jørgensen,dk DEN,GK,Villarreal,20,2002,2,2,180,2.0,3,1.5,6,3,50.0,0,1,1,0,0.0,0,0,0,0,,la_liga,2022-2023
22,Benjamin Lecomte,fr FRA,GK,Espanyol,31,1991,10,10,899,10.0,14,1.4,43,28,67.4,1,5,4,1,10.0,0,0,0,0,,la_liga,2022-2023
23,Jeremías Ledesma,ar ARG,GK,Cádiz,29,1993,34,34,3060,34.0,48,1.41,173,133,76.9,9,11,14,12,35.3,9,8,1,0,11.1,la_liga,2022-2023
24,Diego López,es ESP,GK,Rayo Vallecano,40,1981,2,1,96,1.1,4,3.75,5,1,20.0,0,0,1,0,0.0,0,0,0,0,,la_liga,2022-2023
25,Andriy Lunin,ua UKR,GK,Real Madrid,23,1999,7,7,630,7.0,7,1.0,19,12,63.2,4,1,2,3,42.9,0,0,0,0,,la_liga,2022-2023
26,Giorgi Mamardashvili,ge GEO,GK,Valencia,21,2000,38,38,3420,38.0,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,la_liga,2022-2023
27,Agustín Marchesín,ar ARG,GK,Celta Vigo,34,1988,19,19,1710,19.0,29,1.53,67,42,59.7,5,5,9,6,31.6,4,2,2,0,50.0,la_liga,2022-2023
28,Diego Mariño,es ESP,GK,Almería,32,1990,1,0,45,0.5,2,4.0,5,3,60.0,0,0,0,0,,0,0,0,0,,la_liga,2022-2023
29,Jordi Masip,es ESP,GK,Valladolid,33,1989,28,28,2507,27.9,42,1.51,137,103,73.0,9,5,14,8,28.6,9,5,3,1,37.5,la_liga,2022-2023
30,Jan Oblak,si SVN,GK,Atlético Madrid,29,1993,28,28,2492,27.7,20,0.72,80,60,76.3,17,5,6,12,42.9,2,1,0,1,0.0,la_liga,2022-2023
31,Fernando Pacheco,es ESP,GK,Almería,30,1992,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,la_liga,2022-2023
32,Fernando Pacheco,es ESP,GK,Espanyol,30,1992,16,16,1440,16.0,33,2.06,83,55,65.1,4,3,9,3,18.8,5,4,1,0,20.0,la_liga,2022-2023
33,Iñaki Peña,es ESP,GK,Barcelona,23,1999,2,0,73,0.8,2,2.47,4,2,50.0,0,0,0,0,,0,0,0,0,,la_liga,2022-2023
34,Predrag Rajković,rs SRB,GK,Mallorca,26,1995,36,36,3240,36.0,40,1.11,127,93,73.2,13,8,15,12,33.3,7,6,1,0,14.3,la_liga,2022-2023
35,Pepe Reina,es ESP,GK,Villarreal,39,1982,22,22,1980,22.0,27,1.23,84,61,72.6,13,3,6,5,22.7,4,4,0,0,0.0,la_liga,2022-2023
36,Álex Remiro,es ESP,GK,Real Sociedad,27,1995,38,38,3420,38.0,35,0.92,132,99,74.2,21,8,9,15,39.5,2,1,1,0,50.0,la_liga,2022-2023
37,Leo Román,es ESP,GK,Mallorca,22,2000,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,la_liga,2022-2023
