Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Alisson,br BRA,GK,Liverpool,30,1992,28,28,2520,28.0,30,1.07,112,82,74.1,16,8,4,7,25.0,1,1,0,0,0.0,premier_league,2023-2024
2,Alphonse Areola,fr FRA,GK,West Ham United,30,1993,31,31,2699,30.0,53,1.77,182,136,73.6,11,9,11,4,12.9,7,5,2,0,28.6,premier_league,2023-2024
3,Daniel Bentley,eng ENG,GK,Wolves,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,,premier_league,2023-2024
4,Martin Dúbravka,sk SVK,GK,Newcastle United,34,1989,23,22,1985,22.1,42,1.9,124,87,69.4,9,4,9,5,22.7,5,4,1,0,20.0,premier_league,2023-2024
5,Ederson,br BRA,GK,Manchester City,29,1993,33,33,2785,30.9,27,0.87,81,57,70.4,24,6,3,11,33.3,3,3,0,0,0.0,premier_league,2023-2024
6,Łukasz Fabiański,pl POL,GK,West Ham United,38,1985,10,7,721,8.0,21,2.62,51,33,64.7,3,1,3,1,14.3,3,3,0,0,0.0,premier_league,2023-2024
7,Mark Flekken,nl NED,GK,Brentford,30,1993,37,37,3285,36.5,63,1.73,176,115,65.3,10,9,18,7,18.9,2,2,0,0,0.0,premier_league,2023-2024
8,Wes Foderingham,eng ENG,GK,Sheffield United,32,1991,30,29,2649,29.4,79,2.68,207,133,64.3,3,4,22,1,3.4,6,5,0,1,0.0,premier_league,2023-2024
9,Ivo Grbić,hr CRO,GK,Sheffield United,27,1996,9,9,771,8.6,25,2.92,62,37,59.7,0,3,6,0,0.0,1,0,0,1,,premier_league,2023-2024
10,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,18,1620,18.0,30,1.67,86,57,66.3,8,4,6,2,11.1,1,1,0,0,0.0,premier_league,2023-2024
11,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20,20,1796,20.0,27,1.35,66,41,62.1,5,6,9,6,30.0,2,2,0,0,0.0,premier_league,2023-2024
12,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,38,38,3405,37.8,85,2.25,225,144,64.0,6,8,24,2,5.3,4,4,0,0,0.0,premier_league,2023-2024
13,Loris Karius,de GER,GK,Newcastle United,30,1993,1,1,90,1.0,4,4.0,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,premier_league,2023-2024
14,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10,10,900,10.0,11,1.1,39,28,71.8,8,2,0,2,20.0,0,0,0,0,,premier_league,2023-2024
15,Bernd Leno,de GER,GK,Fulham,31,1992,38,38,3420,38.0,61,1.61,187,134,71.7,13,8,17,10,26.3,8,8,0,0,0.0,premier_league,2023-2024
16,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,34,34,3015,33.5,48,1.43,142,95,66.9,19,8,7,7,20.6,1,1,0,0,0.0,premier_league,2023-2024
17,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,,0,0,0,0,,premier_league,2023-2024
18,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10,10,900,10.0,16,1.6,77,63,80.5,2,4,4,0,0.0,2,1,1,0,50.0,premier_league,2023-2024
19,Neto,br BRA,GK,Bournemouth,34,1989,32,32,2880,32.0,55,1.72,161,112,68.9,10,9,13,7,21.9,6,5,1,0,16.7,premier_league,2023-2024
20,Robin Olsen,se SWE,GK,Aston Villa,33,1990,5,4,405,4.5,13,2.89,32,20,59.4,1,0,3,0,0.0,1,0,1,0,100.0,premier_league,2023-2024
