Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
283,Donyell Malen,nl NED,"MF,FW",Dortmund,24,1999,27,21,1781,19.8,13,1,14,13,0,0,5,0,0.66,0.05,0.71,0.66,0.71,bundesliga,2023-2024
284,Lennard Maloney,us USA,MF,Heidenheim,23,1999,29,27,2284,25.4,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,bundesliga,2023-2024
285,David Mamutovic,de GER,MF,Mainz 05,22,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
286,Braydon Manu,gh GHA,MF,Darmstadt 98,26,1997,4,3,171,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
287,Omar Marmoush,eg EGY,"FW,MF",Eintracht Frankfurt,24,1999,29,27,2301,25.6,12,6,18,10,2,2,7,0,0.47,0.23,0.7,0.39,0.63,bundesliga,2023-2024
288,Eric Martel,de GER,MF,Köln,21,2002,30,29,2457,27.3,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,bundesliga,2023-2024
289,Erhan Mašović,rs SRB,"DF,MF",Bochum,24,1998,29,24,2219,24.7,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
290,Roberto Massimo,de GER,"FW,MF",Stuttgart,22,2000,5,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
291,Jean Mattéo Bahoya,fr FRA,MF,Eintracht Frankfurt,18,2005,8,1,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
292,Philipp Max,de GER,"MF,DF",Eintracht Frankfurt,29,1993,23,17,1350,15.0,1,2,3,1,0,0,2,0,0.07,0.13,0.2,0.07,0.2,bundesliga,2023-2024
293,Eric Maxim Choupo-Moting,cm CMR,MF,Bayern Munich,34,1989,27,7,717,8.0,2,2,4,2,0,0,1,0,0.25,0.25,0.5,0.25,0.5,bundesliga,2023-2024
294,Noussair Mazraoui,ma MAR,DF,Bayern Munich,25,1997,19,15,1197,13.3,0,3,3,0,0,0,3,0,0.0,0.23,0.23,0.0,0.23,bundesliga,2023-2024
295,Kevin Mbabu,ch SUI,"DF,MF",Augsburg,28,1995,25,22,2047,22.7,0,2,2,0,0,0,5,0,0.0,0.09,0.09,0.0,0.09,bundesliga,2023-2024
296,Noah Mbamba,be BEL,MF,Leverkusen,18,2005,3,0,16,0.2,0,1,1,0,0,0,0,0,0.0,5.63,5.63,0.0,5.63,bundesliga,2023-2024
297,Nathanael Mbuku,cd COD,MF,Augsburg,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
298,Marvin Mehlem,de GER,MF,Darmstadt 98,25,1997,20,19,1482,16.5,3,2,5,3,0,0,3,0,0.18,0.12,0.3,0.18,0.3,bundesliga,2023-2024
299,Thomas Meunier,be BEL,DF,Dortmund,31,1991,8,7,586,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
300,Alexander Meyer,de GER,GK,Dortmund,32,1991,8,7,695,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
301,Sven Michel,de GER,"FW,MF",Augsburg,33,1990,22,5,583,6.5,2,1,3,1,1,2,2,0,0.31,0.15,0.46,0.15,0.31,bundesliga,2023-2024
302,Enzo Millot,fr FRA,MF,Stuttgart,21,2002,31,27,2241,24.9,5,4,9,4,1,1,5,0,0.2,0.16,0.36,0.16,0.32,bundesliga,2023-2024
303,Jovan Milošević,rs SRB,FW,Stuttgart,18,2005,5,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
304,Kim Min-jae,kr KOR,DF,Bayern Munich,26,1996,25,22,1970,21.9,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,bundesliga,2023-2024
305,Maximilian Mittelstädt,de GER,"DF,MF",Stuttgart,26,1997,31,23,2103,23.4,2,4,6,2,0,0,5,0,0.09,0.17,0.26,0.09,0.26,bundesliga,2023-2024
306,Marko Mladenović,rs SRB,MF,Eintracht Frankfurt,18,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
307,Max Moerstedt,de GER,FW,Hoffenheim,17,2006,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
308,Mateu Morey,es ESP,DF,Dortmund,23,2000,3,2,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
309,Youssoufa Moukoko,de GER,FW,Dortmund,18,2004,20,4,625,6.9,5,0,5,5,0,0,1,0,0.72,0.0,0.72,0.72,0.72,bundesliga,2023-2024
310,Andreas Müller,de GER,MF,Darmstadt 98,23,2000,11,2,349,3.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
311,Jannik Müller,de GER,DF,Darmstadt 98,29,1994,16,12,1134,12.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
312,Kevin Müller,de GER,GK,Heidenheim,32,1991,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
313,Marcus Müller,de GER,FW,Mainz 05,20,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
314,Thomas Müller,de GER,MF,Bayern Munich,33,1989,31,20,1654,18.4,5,9,14,5,0,0,0,0,0.27,0.49,0.76,0.27,0.76,bundesliga,2023-2024
315,Jamal Musiala,de GER,MF,Bayern Munich,20,2003,24,20,1755,19.5,10,5,15,10,0,0,2,0,0.51,0.26,0.77,0.51,0.77,bundesliga,2023-2024
316,Florent Muslija,xk KVX,"FW,MF",Freiburg,25,1998,10,0,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
317,Phillipp Mwene,at AUT,"MF,DF",Mainz 05,29,1994,23,23,1996,22.2,1,2,3,1,0,0,4,1,0.05,0.09,0.14,0.05,0.14,bundesliga,2023-2024
318,Joakim Mæhle,dk DEN,"DF,MF",Wolfsburg,26,1997,30,27,2452,27.2,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18,bundesliga,2023-2024
319,Nathan N'Goumou,cm CMR,"MF,FW",Gladbach,23,2000,32,14,1385,15.4,5,2,7,5,0,0,1,0,0.32,0.13,0.45,0.32,0.45,bundesliga,2023-2024
320,Stanley N'Soki,fr FRA,"DF,MF",Hoffenheim,24,1999,11,7,631,7.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
321,Luca Netz,de GER,"MF,DF",Gladbach,20,2003,30,25,2225,24.7,0,4,4,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,bundesliga,2023-2024
322,Manuel Neuer,de GER,GK,Bayern Munich,37,1986,23,23,2053,22.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
323,Florian Neuhaus,de GER,MF,Gladbach,26,1997,25,15,1224,13.6,4,2,6,3,1,1,4,0,0.29,0.15,0.44,0.22,0.37,bundesliga,2023-2024
324,Jessic Ngankam,de GER,"MF,FW",Mainz 05,23,2000,7,2,184,2.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
325,Jessic Ngankam,de GER,FW,Eintracht Frankfurt,23,2000,15,2,280,3.1,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
326,Moritz Nicolas,de GER,GK,Gladbach,25,1997,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
327,Justin Njinmah,de GER,FW,Werder Bremen,22,2000,24,10,1016,11.3,6,2,8,6,0,0,1,0,0.53,0.18,0.71,0.53,0.71,bundesliga,2023-2024
328,Niels Nkounkou,fr FRA,"MF,DF",Eintracht Frankfurt,22,2000,29,13,1309,14.5,3,2,5,3,0,0,5,1,0.21,0.14,0.34,0.21,0.34,bundesliga,2023-2024
329,Felix Nmecha,de GER,MF,Dortmund,22,2000,20,10,1021,11.3,1,2,3,1,0,0,3,0,0.09,0.18,0.26,0.09,0.26,bundesliga,2023-2024
330,Lukas Nmecha,de GER,FW,Wolfsburg,24,1998,3,0,42,0.5,1,0,1,1,0,0,0,0,2.14,0.0,2.14,2.14,2.14,bundesliga,2023-2024
331,Jonathan Norbye,no NOR,DF,RB Leipzig,16,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
332,Alexander Nübel,de GER,GK,Stuttgart,26,1996,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
333,Kasim Nuhu,gh GHA,DF,Hoffenheim,28,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
334,Fabian Nürnberger,bg BUL,MF,Darmstadt 98,24,1999,21,17,1513,16.8,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,bundesliga,2023-2024
335,Tim Oermann,de GER,DF,Bochum,19,2003,16,8,714,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
336,Masaya Okugawa,jp JPN,"FW,MF",Augsburg,27,1996,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
337,Finn Ole Becker,de GER,MF,Hoffenheim,23,2000,22,5,606,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
338,Mathias Olesen,lu LUX,MF,Köln,22,2001,6,0,112,1.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
339,Dani Olmo,es ESP,MF,RB Leipzig,25,1998,21,17,1449,16.1,4,5,9,4,0,0,0,0,0.25,0.31,0.56,0.25,0.56,bundesliga,2023-2024
340,Jonas Omlin,ch SUI,GK,Gladbach,29,1994,7,7,630,7.0,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,bundesliga,2023-2024
341,Karim Onisiwo,at AUT,"FW,MF",Mainz 05,31,1992,24,17,1493,16.6,1,3,4,1,0,0,1,0,0.06,0.18,0.24,0.06,0.24,bundesliga,2023-2024
342,Loïs Openda,be BEL,FW,RB Leipzig,23,2000,34,33,2697,30.0,24,7,31,22,2,3,4,0,0.8,0.23,1.03,0.73,0.97,bundesliga,2023-2024
343,Leon Opitz,de GER,MF,Werder Bremen,18,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
344,Willi Orban,hu HUN,DF,RB Leipzig,30,1992,19,18,1582,17.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
345,Ivan Ordets,ua UKR,DF,Bochum,31,1992,24,21,1880,20.9,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,bundesliga,2023-2024
346,Patrick Osterhage,de GER,MF,Bochum,23,2000,24,21,1861,20.7,2,1,3,2,0,0,5,0,0.1,0.05,0.15,0.1,0.15,bundesliga,2023-2024
347,Salih Özcan,tr TUR,MF,Dortmund,25,1998,23,13,1184,13.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
