Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
175,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,27,1995,30,2295.0,77.0,75.0,25.5,25,86.0,20,5,30.0,0,1.37,50.0,53.0,-3.0,-0.12,-0.47,bundesliga,2023-2024
176,Álex Grimaldo,es ESP,MF,Leverkusen,27,1995,33,2784.0,84.0,91.0,30.9,31,89.0,26,2,13.0,0,2.64,76.0,23.0,53.0,1.71,-2.2,bundesliga,2023-2024
177,Christian Groß,de GER,"DF,MF",Werder Bremen,34,1989,20,797.0,40.0,26.0,8.9,8,83.0,2,12,11.0,11,1.4,14.0,23.0,-9.0,-1.02,-1.14,bundesliga,2023-2024
178,Brajan Gruda,de GER,"MF,FW",Mainz 05,19,2004,28,1641.0,59.0,53.6,18.2,19,76.0,2,9,21.0,1,1.0,22.0,28.0,-6.0,-0.33,0.05,bundesliga,2023-2024
179,Ilia Gruev,bg BUL,MF,Werder Bremen,23,2000,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,1,0.0,0.0,1.0,-1.0,-22.5,-22.35,bundesliga,2023-2024
180,Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,29,1993,20,1191.0,60.0,38.9,13.2,13,75.0,5,7,31.0,2,1.9,32.0,17.0,15.0,1.13,-0.5,bundesliga,2023-2024
181,Josuha Guilavogui,fr FRA,DF,Mainz 05,32,1990,11,409.0,37.0,13.4,4.5,5,62.0,2,6,16.0,12,1.64,5.0,8.0,-3.0,-0.66,-0.35,bundesliga,2023-2024
182,Serhou Guirassy,gn GUI,FW,Stuttgart,27,1996,28,2208.0,79.0,72.2,24.5,25,85.0,15,3,28.0,0,2.39,58.0,24.0,34.0,1.39,0.86,bundesliga,2023-2024
183,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,13,1170.0,90.0,38.2,13.0,13,90.0,13,0,,16,2.38,32.0,9.0,23.0,1.77,1.05,bundesliga,2023-2024
184,Manuel Gulde,de GER,DF,Freiburg,32,1991,27,2047.0,76.0,66.9,22.7,23,85.0,18,4,25.0,5,1.26,33.0,40.0,-7.0,-0.31,0.23,bundesliga,2023-2024
185,Robert Gumny,pl POL,"DF,MF",Augsburg,25,1998,13,481.0,37.0,15.7,5.3,6,64.0,2,7,14.0,10,0.85,9.0,9.0,0.0,0.0,0.35,bundesliga,2023-2024
186,Christian Günter,de GER,"MF,DF",Freiburg,30,1993,15,1060.0,71.0,34.6,11.8,13,79.0,4,2,15.0,1,1.07,17.0,17.0,0.0,0.0,0.59,bundesliga,2023-2024
187,Janik Haberer,de GER,MF,Union Berlin,29,1994,21,1221.0,58.0,39.9,13.6,14,75.0,6,7,25.0,7,0.71,10.0,30.0,-20.0,-1.47,-1.23,bundesliga,2023-2024
188,Robin Hack,de GER,"FW,MF",Gladbach,24,1998,29,1348.0,46.0,44.1,15.0,14,75.0,3,15,20.0,3,0.97,22.0,26.0,-4.0,-0.27,0.1,bundesliga,2023-2024
189,Eduardo Dos Santos Haesler,de GER,GK,Werder Bremen,24,1999,0,,,,,0,,0,0,,9,,,,,,,bundesliga,2023-2024
