Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
657,Rui Silva,pt POR,GK,Real Betis,30.0,1994.0,15,1350.0,90.0,39.5,15.0,15,90.0,15,0,,0,1.33,16.0,18.0,-2.0,-0.13,-0.52,la_liga,2024-2025
658,Giuliano Simeone,ar ARG,MF,Atlético Madrid,21.0,2002.0,33,1926.0,58.0,56.3,21.4,26,68.0,3,7,22.0,5,2.09,44.0,18.0,26.0,1.21,0.49,la_liga,2024-2025
659,Unai Simón,es ESP,GK,Athletic Club,27.0,1997.0,21,1890.0,90.0,55.3,21.0,21,90.0,21,0,,4,1.81,28.0,14.0,14.0,0.67,0.02,la_liga,2024-2025
660,Daley Sinkgraven,nl NED,DF,Las Palmas,29.0,1995.0,2,91.0,46.0,2.7,1.0,1,45.0,0,1,46.0,3,0.5,1.0,2.0,-1.0,-0.99,-0.45,la_liga,2024-2025
661,Jailson Siqueira,br BRA,DF,Celta Vigo,28.0,1995.0,13,614.0,47.0,18.0,6.8,6,80.0,3,7,19.0,10,1.77,15.0,14.0,1.0,0.15,0.11,la_liga,2024-2025
662,Antonio Sivera,es ESP,GK,Alavés,27.0,1996.0,32,2810.0,88.0,82.2,31.2,32,88.0,30,0,,0,1.16,31.0,39.0,-8.0,-0.26,0.04,la_liga,2024-2025
663,Justin Smith,ca CAN,MF,Espanyol,21.0,2003.0,5,209.0,42.0,6.1,2.3,3,58.0,0,2,17.0,3,1.0,4.0,2.0,2.0,0.86,1.23,la_liga,2024-2025
664,Alex Sola,es ESP,MF,Getafe,25.0,1999.0,19,1029.0,54.0,30.1,11.4,13,68.0,0,6,25.0,16,1.05,5.0,10.0,-5.0,-0.44,-0.44,la_liga,2024-2025
665,Arnau Solà,es ESP,DF,Villarreal,21.0,2003.0,1,13.0,13.0,0.4,0.1,0,,0,1,13.0,10,3.0,0.0,0.0,0.0,0.0,-0.53,la_liga,2024-2025
666,Jhon Solis,co COL,MF,Girona,19.0,2004.0,19,535.0,28.0,15.6,5.9,3,76.0,1,16,19.0,13,0.95,9.0,18.0,-9.0,-1.51,-1.3,la_liga,2024-2025
