Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
1,Max Aarons,eng ENG,DF,Valencia,24,2000,1.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
2,Rodrigo Abajas,es ESP,DF,Valencia,21,2003,0.7,0,1,0,0.0,1.38,0.0,0.0,,0,0,la_liga,2024-2025
3,Nabil Aberdin,fr FRA,MF,Getafe,21,2002,2.9,0,2,0,0.0,0.68,0.0,0.0,,0,0,la_liga,2024-2025
4,Abdel Abqar,ma MAR,DF,Alavés,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,0,0,la_liga,2024-2025
5,Akor Adams,ng NGA,FW,Sevilla,24,2000,1.5,0,2,2,100.0,1.34,1.34,0.0,0.0,0,0,la_liga,2024-2025
6,Adrián,es ESP,GK,Real Betis,37,1987,19.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
7,Julen Agirrezabala,es ESP,GK,Athletic Club,23,2000,13.4,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
8,Lucien Agoume,fr FRA,MF,Sevilla,22,2002,23.5,1,10,2,20.0,0.43,0.09,0.1,0.5,0,0,la_liga,2024-2025
9,Álvaro Aguado,es ESP,MF,Espanyol,28,1996,4.9,0,10,1,10.0,2.03,0.2,0.0,0.0,0,0,la_liga,2024-2025
10,Lorenzo Aguado,es ESP,DF,Real Madrid,21,2002,0.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
11,Nayef Aguerd,ma MAR,DF,Real Sociedad,28,1996,19.6,0,15,5,33.3,0.77,0.26,0.0,0.0,0,0,la_liga,2024-2025
12,Joseph Aidoo,gh GHA,DF,Valladolid,28,1995,6.5,0,1,0,0.0,0.15,0.0,0.0,,0,0,la_liga,2024-2025
13,Joseph Aidoo,gh GHA,DF,Celta Vigo,28,1995,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
14,Ilias Akhomach,ma MAR,MF,Villarreal,20,2004,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,0,0,la_liga,2024-2025
15,David Alaba,at AUT,DF,Real Madrid,32,1992,3.5,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
16,Ibrahim Alani,ng NGA,MF,Valladolid,18,2006,1.8,0,1,0,0.0,0.56,0.0,0.0,,0,0,la_liga,2024-2025
17,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,0,2,0,0.0,0.15,0.0,0.0,,0,0,la_liga,2024-2025
18,Omar Alderete,py PAR,DF,Getafe,27,1996,33.0,1,38,10,26.3,1.15,0.3,0.03,0.1,0,0,la_liga,2024-2025
19,Carles Aleñá,es ESP,MF,Getafe,26,1998,5.0,0,5,1,20.0,1.0,0.2,0.0,0.0,0,0,la_liga,2024-2025
20,Carles Aleñá,es ESP,MF,Alavés,26,1998,12.1,0,15,4,26.7,1.24,0.33,0.0,0.0,0,0,la_liga,2024-2025
21,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,5,45,21,46.7,2.95,1.38,0.11,0.24,0,0,la_liga,2024-2025
22,Tadeo Allende,ar ARG,MF,Celta Vigo,25,1999,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22.0,0,18,5,27.8,0.82,0.23,0.0,0.0,0,0,la_liga,2024-2025
24,Iker Almena,es ESP,MF,Girona,20,2004,0.5,0,1,0,0.0,1.87,0.0,0.0,,0,0,la_liga,2024-2025
25,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,3,34,13,38.2,1.16,0.44,0.0,0.0,3,3,la_liga,2024-2025
26,Adrià Altimira,es ESP,"DF,MF",Leganés,23,2001,18.1,0,7,2,28.6,0.39,0.11,0.0,0.0,0,0,la_liga,2024-2025
27,Sergi Altimira,es ESP,MF,Real Betis,22,2001,21.9,0,21,4,19.0,0.96,0.18,0.0,0.0,0,0,la_liga,2024-2025
28,Hugo Álvarez,es ESP,MF,Celta Vigo,21,2003,17.5,4,25,9,36.0,1.43,0.52,0.16,0.44,0,0,la_liga,2024-2025
29,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,17,73,40,54.8,2.62,1.43,0.18,0.33,4,4,la_liga,2024-2025
30,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,0,0,la_liga,2024-2025
31,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,3,23,8,34.8,1.5,0.52,0.09,0.25,1,1,la_liga,2024-2025
32,Amath,sn SEN,"FW,MF",Valladolid,28,1996,4.2,0,5,1,20.0,1.2,0.24,0.0,0.0,0,0,la_liga,2024-2025
33,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,1,22,2,9.1,1.67,0.15,0.05,0.5,0,0,la_liga,2024-2025
34,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,0,1,1,100.0,3.21,3.21,0.0,0.0,0,0,la_liga,2024-2025
35,Antoniu,es ESP,MF,Espanyol,21,2002,11.4,0,10,4,40.0,0.88,0.35,0.0,0.0,0,0,la_liga,2024-2025
36,Antony,br BRA,MF,Real Betis,24,2000,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,0,0,la_liga,2024-2025
37,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,2,11,6,54.5,0.58,0.31,0.18,0.33,0,0,la_liga,2024-2025
38,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2.0,0,1,0,0.0,0.51,0.0,0.0,,0,0,la_liga,2024-2025
39,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,10,56,19,33.9,1.89,0.64,0.13,0.37,3,3,la_liga,2024-2025
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,1,11,3,27.3,0.4,0.11,0.09,0.33,0,0,la_liga,2024-2025
41,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,1,4,2,50.0,0.48,0.24,0.25,0.5,0,0,la_liga,2024-2025
42,Adu Ares,es ESP,MF,Athletic Club,22,2001,0.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
43,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,0,8,0,0.0,0.23,0.0,0.0,,0,0,la_liga,2024-2025
44,David Argüelles,es ESP,DF,Getafe,22,2002,0.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
45,José Arnaiz,es ESP,MF,Osasuna,29,1995,1.5,0,6,3,50.0,4.06,2.03,0.0,0.0,0,0,la_liga,2024-2025
46,Sergio Arribas,es ESP,DF,Real Betis,21,2003,1.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2024-2025
47,Takuma Asano,jp JPN,"MF,FW",Mallorca,29,1994,11.7,2,28,8,28.6,2.39,0.68,0.07,0.25,0,0,la_liga,2024-2025
48,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,0,3,1,33.3,0.16,0.05,0.0,0.0,0,0,la_liga,2024-2025
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,10,52,24,46.2,2.68,1.24,0.1,0.21,5,6,la_liga,2024-2025
50,Yaser Asprilla,co COL,"MF,FW",Girona,20,2003,15.6,3,38,11,28.9,2.43,0.7,0.08,0.27,0,0,la_liga,2024-2025
51,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,30,1994,7.5,2,20,10,50.0,2.66,1.33,0.1,0.2,0,0,la_liga,2024-2025
