Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34,34,3060,34.0,57,1.68,161,106,65.8,10,6,18,5,14.7,3,2,0,1,0.0,bundesliga,2022-2023
2,Janis Blaswich,de GER,GK,RB Leipzig,31,1991,26,26,2340,26.0,29,1.12,68,46,66.2,16,4,6,7,26.9,7,6,1,0,14.3,bundesliga,2022-2023
3,Fabian Bredlow,de GER,GK,Stuttgart,27,1995,15,15,1350,15.0,23,1.53,56,38,67.9,4,5,6,1,6.7,5,5,0,0,0.0,bundesliga,2022-2023
4,Koen Casteels,be BEL,GK,Wolfsburg,30,1992,34,34,3060,34.0,48,1.41,144,101,69.4,13,10,11,12,35.3,7,4,1,2,20.0,bundesliga,2022-2023
5,Oliver Christensen,dk DEN,GK,Hertha BSC,23,1999,33,33,2970,33.0,68,2.06,159,96,60.4,6,8,19,3,9.1,6,5,1,0,16.7,bundesliga,2022-2023
6,Finn Dahmen,de GER,GK,Mainz 05,24,1998,8,8,720,8.0,16,2.0,40,27,62.5,3,2,3,0,0.0,3,1,2,0,66.7,bundesliga,2022-2023
7,Tjark Ernst,de GER,GK,Hertha BSC,19,2003,1,1,90,1.0,1,1.0,8,7,87.5,1,0,0,0,0.0,0,0,0,0,,bundesliga,2022-2023
8,Ralf Fährmann,de GER,GK,Schalke 04,33,1988,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0,bundesliga,2022-2023
9,Mark Flekken,nl NED,GK,Freiburg,29,1993,34,34,3060,34.0,44,1.29,148,108,73.6,17,8,9,13,38.2,6,5,0,1,0.0,bundesliga,2022-2023
10,Rafał Gikiewicz,pl POL,GK,Augsburg,34,1987,23,23,2070,23.0,41,1.78,134,96,70.1,8,3,12,5,21.7,4,1,2,1,66.7,bundesliga,2022-2023
11,Lennart Grill,de GER,GK,Union Berlin,23,1999,5,5,450,5.0,11,2.2,23,14,60.9,2,1,2,2,40.0,2,2,0,0,0.0,bundesliga,2022-2023
12,Péter Gulácsi,hu HUN,GK,RB Leipzig,32,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0,bundesliga,2022-2023
13,Lukáš Hrádecký,fi FIN,GK,Leverkusen,32,1989,33,33,2969,33.0,47,1.42,138,97,71.0,14,8,11,9,27.3,7,7,0,0,0.0,bundesliga,2022-2023
14,Gregor Kobel,ch SUI,GK,Dortmund,24,1997,27,27,2430,27.0,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0.0,bundesliga,2022-2023
15,Tomáš Koubek,cz CZE,GK,Augsburg,29,1992,11,11,990,11.0,22,2.0,68,46,67.6,1,4,6,1,9.1,0,0,0,0,,bundesliga,2022-2023
16,Andrey Lunyov,ru RUS,GK,Leverkusen,30,1991,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,bundesliga,2022-2023
17,Alexander Meyer,de GER,GK,Dortmund,31,1991,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,,bundesliga,2022-2023
18,Florian Müller,de GER,GK,Stuttgart,24,1997,19,19,1710,19.0,34,1.79,86,53,61.6,3,7,9,1,5.3,1,1,0,0,0.0,bundesliga,2022-2023
19,Manuel Neuer,de GER,GK,Bayern Munich,36,1986,12,12,1080,12.0,11,0.92,42,33,78.6,7,4,1,4,33.3,2,2,0,0,0.0,bundesliga,2022-2023
20,Ørjan Nyland,no NOR,GK,RB Leipzig,31,1990,2,2,180,2.0,2,1.0,6,4,66.7,2,0,0,1,50.0,0,0,0,0,,bundesliga,2022-2023
21,Jan Olschowsky,de GER,GK,Gladbach,20,2001,4,4,360,4.0,11,2.75,30,20,66.7,1,1,2,0,0.0,1,1,0,0,0.0,bundesliga,2022-2023
22,Jonas Omlin,ch SUI,GK,Gladbach,28,1994,15,15,1290,14.3,18,1.26,54,38,70.4,5,4,6,5,33.3,2,2,0,0,0.0,bundesliga,2022-2023
23,Jiří Pavlenka,cz CZE,GK,Werder Bremen,30,1992,33,33,2908,32.3,61,1.89,169,111,65.1,10,5,18,4,12.1,3,2,1,0,33.3,bundesliga,2022-2023
24,Diant Ramaj,de GER,GK,Eintracht Frankfurt,20,2001,1,1,90,1.0,1,1.0,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,bundesliga,2022-2023
25,Manuel Riemann,de GER,GK,Bochum,33,1988,34,34,3060,34.0,72,2.12,189,127,66.1,10,5,19,5,14.7,14,8,3,3,27.3,bundesliga,2022-2023
26,Frederik Rønnow,dk DEN,GK,Union Berlin,29,1992,29,29,2610,29.0,27,0.93,116,94,81.0,16,7,6,11,37.9,5,5,0,0,0.0,bundesliga,2022-2023
27,Marvin Schwäbe,de GER,GK,Köln,27,1995,34,34,3060,34.0,54,1.59,127,77,60.6,10,12,12,6,17.6,5,4,1,0,20.0,bundesliga,2022-2023
28,Alexander Schwolow,de GER,GK,Schalke 04,30,1992,23,22,2035,22.6,58,2.57,134,80,59.7,4,4,14,2,9.1,4,4,0,0,0.0,bundesliga,2022-2023
29,Tobias Sippel,de GER,GK,Gladbach,34,1988,6,5,510,5.7,12,2.12,32,21,65.6,1,1,3,1,20.0,1,1,0,0,0.0,bundesliga,2022-2023
30,Yann Sommer,ch SUI,GK,Gladbach,33,1988,10,10,900,10.0,14,1.4,59,47,79.7,4,4,2,3,30.0,2,2,0,0,0.0,bundesliga,2022-2023
31,Yann Sommer,ch SUI,GK,Bayern Munich,33,1988,19,19,1710,19.0,25,1.32,48,30,62.5,11,4,4,5,26.3,7,7,0,0,0.0,bundesliga,2022-2023
32,Kevin Trapp,de GER,GK,Eintracht Frankfurt,32,1990,33,33,2970,33.0,51,1.55,129,80,62.0,13,10,10,6,18.2,2,2,0,0,0.0,bundesliga,2022-2023
33,Sven Ulreich,de GER,GK,Bayern Munich,33,1988,3,3,270,3.0,2,0.67,6,5,66.7,3,0,0,2,66.7,1,0,1,0,100.0,bundesliga,2022-2023
34,Robin Zentner,de GER,GK,Mainz 05,27,1994,26,26,2340,26.0,39,1.5,106,70,66.0,9,8,9,7,26.9,5,3,1,1,25.0,bundesliga,2022-2023
35,Michael Zetterer,de GER,GK,Werder Bremen,27,1995,2,1,152,1.7,3,1.78,14,11,78.6,0,1,0,0,0.0,0,0,0,0,,bundesliga,2022-2023
