Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Abdel Abqar,ma MAR,DF,Alavés,22.0,1999.0,0,,,,,0,,0,0,,16,,,,,,,la_liga,2021-2022
2,Luis Abram,pe PER,DF,Granada,25.0,1996.0,8,560.0,70.0,16.4,6.2,6,80.0,4,2,39.0,12,1.38,8.0,5.0,3.0,0.48,1.11,la_liga,2021-2022
3,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29.0,1991.0,31,2260.0,73.0,66.1,25.1,26,83.0,17,5,22.0,1,1.87,32.0,13.0,19.0,0.76,0.45,la_liga,2021-2022
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25.0,1996.0,24,1616.0,67.0,47.3,18.0,17,83.0,11,7,28.0,13,0.96,13.0,31.0,-18.0,-1.0,-0.2,la_liga,2021-2022
5,Julen Agirrezabala,es ESP,GK,Athletic Club,20.0,2000.0,4,360.0,90.0,10.5,4.0,4,90.0,4,0,,10,1.25,5.0,5.0,0.0,0.0,-0.21,la_liga,2021-2022
6,Sergio Agüero,ar ARG,FW,Barcelona,33.0,1988.0,4,151.0,38.0,4.4,1.7,2,65.0,1,2,11.0,0,1.0,1.0,2.0,-1.0,-0.6,-1.45,la_liga,2021-2022
7,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21.0,2000.0,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,0,0.0,0.0,0.0,0.0,0.0,0.29,la_liga,2021-2022
8,Joseph Aidoo,gh GHA,DF,Celta Vigo,25.0,1995.0,32,2637.0,82.0,77.1,29.3,30,87.0,24,2,7.0,3,1.22,35.0,31.0,4.0,0.14,0.6,la_liga,2021-2022
9,Carlos Akapo,gq EQG,DF,Cádiz,28.0,1993.0,25,1844.0,74.0,53.9,20.5,21,84.0,14,4,21.0,5,1.08,15.0,27.0,-12.0,-0.59,-0.36,la_liga,2021-2022
10,Ilias Akhomach,ma MAR,FW,Barcelona,17.0,2004.0,2,124.0,62.0,3.6,1.4,2,62.0,0,0,,3,3.0,1.0,0.0,1.0,0.73,-0.07,la_liga,2021-2022
11,Paul Akouokou,ci CIV,MF,Real Betis,23.0,1997.0,8,516.0,65.0,15.1,5.7,6,82.0,2,2,11.0,19,1.38,7.0,3.0,4.0,0.7,0.14,la_liga,2021-2022
12,David Alaba,at AUT,DF,Real Madrid,29.0,1992.0,30,2642.0,88.0,77.3,29.4,30,88.0,27,0,,0,2.3,60.0,26.0,34.0,1.16,-0.58,la_liga,2021-2022
13,Jony Álamo,es ESP,MF,Elche,19.0,2001.0,0,,,,,0,,0,0,,8,,,,,,,la_liga,2021-2022
14,Tomás Alarcón,cl CHI,MF,Cádiz,22.0,1999.0,23,1425.0,62.0,41.7,15.8,16,81.0,9,7,19.0,5,0.96,12.0,23.0,-11.0,-0.69,-0.47,la_liga,2021-2022
15,Jordi Alba,es ESP,DF,Barcelona,32.0,1989.0,30,2644.0,88.0,77.3,29.4,30,88.0,26,0,,1,2.0,54.0,32.0,22.0,0.75,-0.18,la_liga,2021-2022
16,Raúl Albiol,es ESP,DF,Villarreal,35.0,1985.0,28,2465.0,88.0,72.1,27.4,28,88.0,26,0,,6,1.5,42.0,25.0,17.0,0.62,-0.23,la_liga,2021-2022
17,Paco Alcácer,es ESP,FW,Villarreal,27.0,1993.0,18,787.0,44.0,23.0,8.7,10,65.0,0,8,17.0,8,1.44,16.0,11.0,5.0,0.57,-0.15,la_liga,2021-2022
18,Rubén Alcaraz,es ESP,MF,Cádiz,30.0,1991.0,14,1105.0,79.0,32.3,12.3,12,87.0,10,2,31.0,0,1.21,10.0,12.0,-2.0,-0.16,0.38,la_liga,2021-2022
19,Omar Alderete,py PAR,DF,Valencia,24.0,1996.0,29,2403.0,83.0,70.3,26.7,28,84.0,20,1,45.0,3,1.21,32.0,34.0,-2.0,-0.07,0.19,la_liga,2021-2022
20,Iván Alejo,es ESP,MF,Cádiz,26.0,1995.0,20,1065.0,53.0,31.1,11.8,11,73.0,2,9,29.0,7,1.2,14.0,9.0,5.0,0.42,1.23,la_liga,2021-2022
21,Pedro Alemañ,es ESP,MF,Valencia,19.0,2002.0,0,,,,,0,,0,0,,4,,,,,,,la_liga,2021-2022
22,Carles Aleñá,es ESP,MF,Getafe,23.0,1998.0,33,2320.0,70.0,67.8,25.8,30,76.0,6,3,15.0,1,1.12,23.0,20.0,3.0,0.12,1.02,la_liga,2021-2022
23,Alfon,es ESP,FW,Celta Vigo,22.0,1999.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2021-2022
24,Ángel Algobia,es ESP,MF,Getafe,22.0,1999.0,0,,,,,0,,0,0,,3,,,,,,,la_liga,2021-2022
25,Gastón Álvarez,uy URU,DF,Getafe,21.0,2000.0,0,,,,,0,,0,0,,15,,,,,,,la_liga,2021-2022
26,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,18.0,2003.0,1,11.0,11.0,0.3,0.1,0,,0,1,11.0,5,3.0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
27,Iker Álvarez,ad AND,GK,Villarreal,20.0,2001.0,0,,,,,0,,0,0,,10,,,,,,,la_liga,2021-2022
28,Yeray Álvarez,es ESP,DF,Athletic Club,26.0,1995.0,22,1860.0,85.0,54.4,20.7,21,88.0,20,1,15.0,6,1.23,20.0,20.0,0.0,0.0,-0.4,la_liga,2021-2022
29,Dani Alves,br BRA,DF,Barcelona,38.0,1983.0,14,1098.0,78.0,32.1,12.2,13,84.0,6,1,5.0,3,2.5,26.0,10.0,16.0,1.31,0.77,la_liga,2021-2022
30,Emmanuel Amankwaa Akurugu,gh GHA,MF,Getafe,19.0,2001.0,3,79.0,26.0,2.3,0.9,1,63.0,0,2,8.0,8,1.0,2.0,1.0,1.0,1.14,1.38,la_liga,2021-2022
31,Amath,sn SEN,"MF,FW",Mallorca,25.0,1996.0,19,884.0,47.0,25.8,9.8,9,68.0,1,10,27.0,4,0.89,10.0,14.0,-4.0,-0.41,0.41,la_liga,2021-2022
32,Florin Andone,ro ROU,FW,Cádiz,28.0,1993.0,5,176.0,35.0,5.1,2.0,1,66.0,0,4,28.0,14,0.2,1.0,7.0,-6.0,-3.07,-2.79,la_liga,2021-2022
33,Marcos André,br BRA,"FW,MF",Valencia,24.0,1996.0,29,973.0,34.0,28.5,10.8,8,76.0,2,21,18.0,3,1.31,19.0,16.0,3.0,0.28,0.57,la_liga,2021-2022
34,Lluis Andreu,es ESP,GK,Elche,22.0,1999.0,0,,,,,0,,0,0,,16,,,,,,,la_liga,2021-2022
35,Ángel,es ESP,GK,Granada,19.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2021-2022
36,José Ángel,es ESP,DF,Osasuna,31.0,1989.0,23,1083.0,47.0,31.7,12.0,12,78.0,4,11,13.0,12,1.04,14.0,20.0,-6.0,-0.5,-0.19,la_liga,2021-2022
37,Josep Antoni Gayá,es ESP,DF,Mallorca,21.0,2000.0,1,58.0,58.0,1.7,0.6,1,58.0,0,0,,17,0.0,1.0,4.0,-3.0,-4.66,-4.01,la_liga,2021-2022
38,Mauro Arambarri,uy URU,MF,Getafe,25.0,1995.0,31,2663.0,86.0,77.9,29.6,31,86.0,27,0,,0,1.23,31.0,27.0,4.0,0.14,1.56,la_liga,2021-2022
39,Arana,es ESP,FW,Villarreal,21.0,2000.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2021-2022
40,Néstor Araujo,mx MEX,DF,Celta Vigo,29.0,1991.0,34,2617.0,77.0,76.5,29.1,29,87.0,24,5,19.0,3,1.26,32.0,30.0,2.0,0.07,0.29,la_liga,2021-2022
41,Ronald Araújo,uy URU,DF,Barcelona,22.0,1999.0,30,2272.0,76.0,66.4,25.2,25,86.0,22,5,25.0,1,2.13,48.0,29.0,19.0,0.75,-0.11,la_liga,2021-2022
42,Iván Arboleda,co COL,GK,Rayo Vallecano,25.0,1996.0,0,,,,,0,,0,0,,8,,,,,,,la_liga,2021-2022
43,Jesús Areso,es ESP,DF,Osasuna,22.0,1999.0,3,188.0,63.0,5.5,2.1,2,86.0,1,1,16.0,15,1.0,2.0,5.0,-3.0,-1.44,-1.13,la_liga,2021-2022
44,Matias Arezo,uy URU,FW,Granada,18.0,2002.0,8,162.0,20.0,4.7,1.8,1,71.0,0,7,13.0,8,0.25,4.0,5.0,-1.0,-0.56,-0.11,la_liga,2021-2022
45,Santiago Arias,co COL,DF,Granada,29.0,1992.0,12,440.0,37.0,12.9,4.9,4,78.0,2,8,16.0,8,1.5,12.0,9.0,3.0,0.61,1.22,la_liga,2021-2022
46,Juan Artola,es ESP,FW,Athletic Club,21.0,2000.0,0,,,,,0,,0,0,,3,,,,,,,la_liga,2021-2022
47,Santiago Arzamendia,py PAR,MF,Cádiz,23.0,1998.0,14,469.0,34.0,13.7,5.2,5,61.0,1,9,18.0,20,1.5,5.0,7.0,-2.0,-0.38,0.04,la_liga,2021-2022
48,Sergio Asenjo,es ESP,GK,Villarreal,32.0,1989.0,6,540.0,90.0,15.8,6.0,6,90.0,6,0,,30,1.33,13.0,9.0,4.0,0.67,-0.02,la_liga,2021-2022
49,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20.0,2000.0,2,12.0,6.0,0.4,0.1,0,,0,2,6.0,2,0.0,0.0,0.0,0.0,0.0,0.29,la_liga,2021-2022
50,Marco Asensio,es ESP,"FW,MF",Real Madrid,25.0,1996.0,31,1731.0,56.0,50.6,19.2,19,79.0,7,12,20.0,2,2.39,42.0,13.0,29.0,1.51,0.44,la_liga,2021-2022
51,Iago Aspas,es ESP,FW,Celta Vigo,33.0,1987.0,37,3087.0,83.0,90.3,34.3,36,85.0,26,1,11.0,0,1.22,41.0,39.0,2.0,0.06,0.6,la_liga,2021-2022
52,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32.0,1989.0,17,1082.0,64.0,31.6,12.0,13,74.0,0,4,29.0,0,2.24,26.0,10.0,16.0,1.33,0.79,la_liga,2021-2022
53,Ludwig Augustinsson,se SWE,"DF,MF",Sevilla,27.0,1994.0,19,793.0,42.0,23.2,8.8,9,72.0,3,10,14.0,16,1.95,16.0,13.0,3.0,0.34,-0.34,la_liga,2021-2022
54,Serge Aurier,ci CIV,DF,Villarreal,28.0,1992.0,19,1010.0,53.0,29.5,11.2,10,86.0,8,9,17.0,2,1.68,22.0,12.0,10.0,0.89,0.29,la_liga,2021-2022
55,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27.0,1994.0,36,1870.0,52.0,54.7,20.8,22,73.0,2,14,19.0,0,1.22,21.0,22.0,-1.0,-0.05,0.71,la_liga,2021-2022
56,Gaizka Ayesa,es ESP,GK,Real Sociedad,20.0,2001.0,0,,,,,0,,0,0,,5,,,,,,,la_liga,2021-2022
57,Iddrisu Baba,gh GHA,MF,Mallorca,25.0,1996.0,26,1934.0,74.0,56.5,21.5,23,81.0,11,3,23.0,5,0.96,19.0,36.0,-17.0,-0.79,-0.19,la_liga,2021-2022
58,Carlos Bacca,co COL,FW,Granada,34.0,1986.0,17,513.0,30.0,15.0,5.7,4,73.0,1,13,17.0,16,0.83,7.0,10.0,-3.0,-0.53,-0.09,la_liga,2021-2022
59,Édgar Badía,es ESP,GK,Elche,29.0,1992.0,24,2160.0,90.0,63.2,24.0,24,90.0,24,0,,14,1.21,28.0,35.0,-7.0,-0.29,0.07,la_liga,2021-2022
60,Miguel Baeza,es ESP,MF,Celta Vigo,21.0,2000.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,la_liga,2021-2022
61,Alex Balboa,gq EQG,MF,Alavés,20.0,2001.0,0,,,,,0,,0,0,,2,,,,,,,la_liga,2021-2022
62,Alejandro Balde,es ESP,DF,Barcelona,17.0,2003.0,5,188.0,38.0,5.5,2.1,2,65.0,0,3,19.0,13,1.4,0.0,4.0,-4.0,-1.91,-2.86,la_liga,2021-2022
63,Gareth Bale,wls WAL,FW,Real Madrid,32.0,1989.0,5,280.0,56.0,8.2,3.1,4,66.0,0,1,17.0,8,2.2,5.0,3.0,2.0,0.64,-0.7,la_liga,2021-2022
64,Mikel Balenziaga,es ESP,DF,Athletic Club,33.0,1988.0,26,2027.0,78.0,59.3,22.5,23,87.0,19,3,12.0,11,1.58,25.0,23.0,2.0,0.09,-0.23,la_liga,2021-2022
65,Iván Balliu,al ALB,DF,Rayo Vallecano,29.0,1992.0,35,3147.0,90.0,92.0,35.0,35,90.0,34,0,,0,1.0,35.0,48.0,-13.0,-0.37,-1.03,la_liga,2021-2022
66,Barbero,es ESP,FW,Osasuna,22.0,1998.0,6,21.0,4.0,0.6,0.2,0,,0,6,4.0,22,0.83,2.0,3.0,-1.0,-4.29,-3.94,la_liga,2021-2022
67,Barcia,es ESP,DF,Granada,20.0,2000.0,1,75.0,75.0,2.2,0.8,1,75.0,0,0,,4,1.0,0.0,1.0,-1.0,-1.2,-0.77,la_liga,2021-2022
68,Enis Bardhi,mk MKD,"MF,FW",Levante,26.0,1995.0,30,1701.0,57.0,49.7,18.9,17,78.0,6,13,29.0,2,0.87,27.0,44.0,-17.0,-0.9,-0.48,la_liga,2021-2022
69,Keidi Bare,al ALB,MF,Espanyol,23.0,1997.0,25,1481.0,59.0,43.3,16.5,18,73.0,6,7,25.0,3,1.32,14.0,20.0,-6.0,-0.36,-0.04,la_liga,2021-2022
70,Kike Barja,es ESP,"MF,FW",Osasuna,24.0,1997.0,21,865.0,41.0,25.3,9.6,9,72.0,0,12,18.0,7,0.81,6.0,11.0,-5.0,-0.52,-0.2,la_liga,2021-2022
71,Antonio Barragán,es ESP,DF,Elche,34.0,1987.0,16,1020.0,64.0,29.8,11.3,12,76.0,5,4,26.0,18,1.0,8.0,20.0,-12.0,-1.06,-1.06,la_liga,2021-2022
