Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,2,0,0,5,4,0,0,5,3,,,1,la_liga,2021-2022
2,Marcos Acuña,ar ARG,"DF,MF",Sevilla,29,1991,25.1,10,0,0,38,48,0,178,16,31,,,0,la_liga,2021-2022
3,Martin Agirregabiria,es ESP,"DF,MF",Alavés,25,1996,18.0,4,0,0,24,22,1,44,24,22,,,0,la_liga,2021-2022
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,0,0,0,0,0,0,0,0,0,,,0,la_liga,2021-2022
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,0,0,0,1,2,1,3,0,1,,,0,la_liga,2021-2022
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2021-2022
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1,0,0,10,18,1,3,38,26,,,1,la_liga,2021-2022
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,4,0,0,23,25,2,46,54,30,,,0,la_liga,2021-2022
9,Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,1.4,0,0,0,3,4,0,6,0,1,,,0,la_liga,2021-2022
10,Paul Akouokou,ci CIV,MF,Real Betis,23,1997,5.7,2,1,0,13,2,0,1,12,7,,,0,la_liga,2021-2022
11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,2,0,0,17,6,2,41,24,13,,,0,la_liga,2021-2022
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,5,0,0,19,9,1,64,31,18,,,0,la_liga,2021-2022
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,11,0,0,26,19,11,121,33,35,,,0,la_liga,2021-2022
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,8,0,0,18,12,2,3,20,17,,,0,la_liga,2021-2022
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,1,0,0,5,7,8,2,6,3,,,0,la_liga,2021-2022
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,7,0,0,31,35,1,23,12,20,,,0,la_liga,2021-2022
17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,15,0,0,42,7,0,4,34,34,,,0,la_liga,2021-2022
18,Iván Alejo,es ESP,MF,Cádiz,26,1995,11.8,7,0,0,36,33,5,97,7,15,,,0,la_liga,2021-2022
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,6,1,0,50,37,1,44,14,19,,,0,la_liga,2021-2022
20,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,18,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2021-2022
21,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,6,0,0,23,13,1,3,44,15,,,0,la_liga,2021-2022
22,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,2,1,0,27,6,0,75,11,19,,,0,la_liga,2021-2022
23,Emmanuel Amankwaa Akurugu,gh GHA,MF,Getafe,19,2001,0.9,0,0,0,1,1,0,4,1,0,,,0,la_liga,2021-2022
24,Amath,sn SEN,"MF,FW",Mallorca,25,1996,9.8,5,0,0,19,18,6,7,8,10,,,0,la_liga,2021-2022
25,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,1,0,0,3,2,3,0,0,1,,,0,la_liga,2021-2022
26,Marcos André,br BRA,"FW,MF",Valencia,24,1996,10.8,3,0,0,23,22,4,3,7,12,,,0,la_liga,2021-2022
27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,2,1,0,10,5,0,46,9,12,,,0,la_liga,2021-2022
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,0,0,0,0,0,0,0,1,0,,,0,la_liga,2021-2022
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,13,0,0,51,48,0,112,29,39,,,0,la_liga,2021-2022
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,4,0,0,19,10,0,3,28,13,,,1,la_liga,2021-2022
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,6,0,0,25,12,1,7,23,23,,,0,la_liga,2021-2022
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,1,0,0,3,4,0,2,0,3,,,0,la_liga,2021-2022
33,Matias Arezo,uy URU,FW,Granada,18,2002,1.8,1,0,0,3,1,0,4,1,3,,,0,la_liga,2021-2022
34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,1,0,0,6,5,2,17,6,6,,,0,la_liga,2021-2022
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,2,0,0,6,4,1,18,4,7,,,0,la_liga,2021-2022
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,1,0,0,0,0,0,0,2,0,,,0,la_liga,2021-2022
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,0,0,0,0,0,0,1,0,0,,,0,la_liga,2021-2022
