Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
15,Waldemar Anton,de GER,DF,Dortmund,28,1996,21.7,4,0,0,20,20,1,23,32,21,,,1,bundesliga,2024-2025
16,Maximilian Arnold,de GER,MF,Wolfsburg,30,1994,26.2,7,1,0,30,52,0,153,24,21,,,0,bundesliga,2024-2025
17,Jann-Fiete Arp,de GER,FW,Holstein Kiel,24,2000,7.9,8,1,1,20,18,2,24,3,10,,,0,bundesliga,2024-2025
18,Arthur,br BRA,"MF,DF",Leverkusen,21,2003,8.4,1,0,0,20,6,0,16,9,12,,,0,bundesliga,2024-2025
19,Noah Atubolu,de GER,GK,Freiburg,22,2002,25.6,2,0,0,0,0,0,0,0,0,,,0,bundesliga,2024-2025
20,Ayman Azhil,ma MAR,MF,Dortmund,23,2001,0.3,1,0,0,2,0,1,0,0,1,,,0,bundesliga,2024-2025
21,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,0.2,0,0,0,0,0,0,1,0,0,,,0,bundesliga,2024-2025
22,Aliou Badara Baldé,gn GUI,FW,Bochum,21,2002,1.0,1,0,0,1,0,2,4,0,1,,,0,bundesliga,2024-2025
23,Ridle Baku,de GER,MF,Wolfsburg,26,1998,13.0,2,0,0,13,10,1,36,14,16,,,0,bundesliga,2024-2025
24,Ridle Baku,de GER,MF,RB Leipzig,26,1998,14.2,1,0,0,13,14,3,33,11,19,,,0,bundesliga,2024-2025
25,Samuel Bamba,de GER,FW,Bochum,20,2004,0.3,0,0,0,0,1,1,5,0,1,,,0,bundesliga,2024-2025
26,Noahkai Banks,us USA,DF,Augsburg,17,2006,3.1,2,0,0,2,1,0,2,5,5,,,1,bundesliga,2024-2025
27,Scott Banks,sct SCO,MF,St Pauli,22,2001,1.3,1,0,0,2,4,0,6,2,1,,,0,bundesliga,2024-2025
28,Aymen Barkok,ma MAR,MF,Mainz 05,26,1998,0.8,0,0,0,2,1,0,5,2,1,,,0,bundesliga,2024-2025
29,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,30,1993,3.3,2,0,0,6,2,4,1,1,1,,,0,bundesliga,2024-2025
30,Maximilian Bauer,de GER,DF,Augsburg,24,2000,7.3,1,0,0,7,13,1,4,5,9,,,0,bundesliga,2024-2025
31,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28.0,1,0,0,0,6,0,0,0,2,,,0,bundesliga,2024-2025
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24,1999,17.9,5,0,0,44,29,4,14,12,25,,,0,bundesliga,2024-2025
33,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,30,1994,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2024-2025
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,17.8,1,0,0,16,14,2,31,9,17,,,0,bundesliga,2024-2025
35,Timo Becker,de GER,"DF,MF",Holstein Kiel,27,1997,27.2,2,0,0,9,9,0,22,17,35,,,0,bundesliga,2024-2025
36,Hannes Behrens,de GER,DF,Hoffenheim,19,2005,0.3,0,0,0,0,1,0,0,2,1,,,0,bundesliga,2024-2025
37,Kevin Behrens,de GER,FW,Wolfsburg,33,1991,1.9,2,0,0,4,1,0,0,1,1,,,0,bundesliga,2024-2025
38,Maximilian Beier,de GER,"MF,FW",Dortmund,21,2002,17.7,2,0,0,17,16,9,18,7,15,,,0,bundesliga,2024-2025
39,Stefan Bell,de GER,DF,Mainz 05,32,1991,16.0,4,0,0,24,10,3,0,28,11,,,0,bundesliga,2024-2025
40,Jeanuël Belocian,fr FRA,DF,Leverkusen,19,2005,0.8,1,0,0,1,4,0,0,0,1,,,0,bundesliga,2024-2025
41,László Bénes,sk SVK,"MF,FW",Union Berlin,26,1997,6.5,4,0,0,10,4,1,49,4,3,,,0,bundesliga,2024-2025
42,Ramy Bensebaini,dz ALG,DF,Dortmund,29,1995,22.5,6,0,0,28,24,0,35,27,27,,,0,bundesliga,2024-2025
43,Mergim Berisha,de GER,FW,Hoffenheim,26,1998,3.7,1,0,0,5,5,3,3,0,2,,,0,bundesliga,2024-2025
44,Mergim Berisha,de GER,FW,Augsburg,26,1998,0.4,1,0,0,2,0,0,1,0,0,,,0,bundesliga,2024-2025
45,Bernardo,br BRA,DF,Bochum,29,1995,19.8,5,0,0,24,11,0,15,26,26,,,0,bundesliga,2024-2025
46,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,25,1998,14.0,3,0,0,21,15,2,34,5,14,,,0,bundesliga,2024-2025
47,Matúš Bero,sk SVK,MF,Bochum,28,1995,28.5,11,0,0,50,34,1,123,18,36,,,0,bundesliga,2024-2025
48,Jan-Niklas Beste,de GER,"DF,MF",Freiburg,25,1999,2.4,0,0,0,3,6,1,20,0,3,,,0,bundesliga,2024-2025
49,El Bilal Touré,ml MLI,FW,Stuttgart,22,2001,4.0,0,0,0,9,3,1,0,0,1,,,0,bundesliga,2024-2025
50,Tom Bischof,de GER,MF,Hoffenheim,19,2005,28.4,5,0,0,46,33,1,145,32,54,,,0,bundesliga,2024-2025
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,30,1993,10.9,3,0,0,15,19,2,23,15,8,,,0,bundesliga,2024-2025
52,Myron Boadu,nl NED,FW,Bochum,23,2001,11.6,2,0,0,11,6,12,2,1,1,,,0,bundesliga,2024-2025
53,Sacha Boey,fr FRA,DF,Bayern Munich,23,2000,6.6,1,0,0,7,7,0,12,2,6,,,0,bundesliga,2024-2025
54,Victor Boniface,ng NGA,FW,Leverkusen,23,2000,11.2,2,0,0,14,8,6,6,0,4,,,0,bundesliga,2024-2025
55,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25,1999,8.8,2,0,0,12,2,0,1,12,6,,,0,bundesliga,2024-2025
56,Carlo Boukhalfa,ma MAR,MF,St Pauli,25,1999,18.3,1,0,0,18,17,2,11,10,11,,,0,bundesliga,2024-2025
57,Julian Brandt,de GER,MF,Dortmund,28,1996,25.6,1,0,0,8,9,5,68,14,12,,,0,bundesliga,2024-2025
58,Tim Breithaupt,de GER,MF,Augsburg,22,2002,1.3,0,0,0,2,3,0,1,2,1,,,0,bundesliga,2024-2025
