Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
548,Hauke Wahl,de GER,DF,St Pauli,30,1994,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,,0,0.97,26.0,38.0,-12.0,-0.36,0.64,bundesliga,2024-2025
549,Mika Walther,de GER,MF,RB Leipzig,16,2007,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2024-2025
550,Paul Wanner,de GER,"MF,FW",Heidenheim,18,2005,29,1771.0,61.0,57.9,19.7,20,74.0,3,9,33.0,4,0.72,18.0,38.0,-20.0,-1.02,-0.53,bundesliga,2024-2025
551,Kjell-Arik Wätjen,de GER,MF,Dortmund,18,2006,2,16.0,8.0,0.5,0.2,0,,0,2,8.0,9,2.0,0.0,1.0,-1.0,-5.63,-6.25,bundesliga,2024-2025
552,Julian Weigl,de GER,MF,Gladbach,28,1995,33,2881.0,87.0,94.2,32.0,33,87.0,26,0,,0,1.27,49.0,54.0,-5.0,-0.16,-1.66,bundesliga,2024-2025
553,Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25,2250.0,90.0,73.5,25.0,25,90.0,25,0,,7,0.68,37.0,61.0,-24.0,-0.96,-0.18,bundesliga,2024-2025
554,Nelson Weiper,de GER,FW,Mainz 05,19,2005,23,704.0,31.0,23.0,7.8,7,71.0,1,16,13.0,6,1.35,9.0,8.0,1.0,0.13,-0.29,bundesliga,2024-2025
555,Mitchell Weiser,de GER,MF,Werder Bremen,30,1994,32,2868.0,90.0,93.7,31.9,32,90.0,30,0,,0,1.5,50.0,52.0,-2.0,-0.06,0.41,bundesliga,2024-2025
556,Noah Weißhaupt,de GER,"FW,MF",St Pauli,22,2001,19,1160.0,61.0,37.9,12.9,13,77.0,1,6,28.0,0,0.95,10.0,12.0,-2.0,-0.16,0.37,bundesliga,2024-2025
557,Noah Weißhaupt,de GER,"FW,MF",Freiburg,22,2001,3,80.0,27.0,2.6,0.9,0,,0,3,27.0,8,1.33,0.0,1.0,-1.0,-1.13,-1.03,bundesliga,2024-2025
558,Silvan Widmer,ch SUI,MF,Mainz 05,31,1993,27,504.0,19.0,16.5,5.6,3,73.0,0,24,12.0,6,1.48,5.0,6.0,-1.0,-0.18,-0.64,bundesliga,2024-2025
559,Patrick Wimmer,at AUT,"MF,FW",Wolfsburg,23,2001,29,1770.0,61.0,57.8,19.7,22,73.0,4,7,24.0,0,1.31,31.0,31.0,0.0,0.0,-0.14,bundesliga,2024-2025
560,Jonas Wind,dk DEN,"FW,MF",Wolfsburg,25,1999,31,1966.0,63.0,64.2,21.8,21,81.0,9,10,27.0,2,1.19,30.0,31.0,-1.0,-0.05,-0.29,bundesliga,2024-2025
561,Florian Wirtz,de GER,MF,Leverkusen,21,2003,31,2351.0,76.0,76.8,26.1,25,87.0,17,6,28.0,0,1.94,58.0,32.0,26.0,1.0,0.61,bundesliga,2024-2025
562,Dani de Wit,nl NED,"MF,FW",Bochum,26,1998,28,1153.0,41.0,37.7,12.8,11,78.0,5,17,17.0,5,0.75,14.0,40.0,-26.0,-2.03,-1.65,bundesliga,2024-2025
563,Maximilian Wittek,de GER,"DF,MF",Bochum,28,1995,33,2706.0,82.0,88.4,30.1,32,84.0,21,1,13.0,0,0.67,27.0,64.0,-37.0,-1.23,-1.99,bundesliga,2024-2025
564,Marius Wolf,de GER,MF,Augsburg,29,1995,32,2144.0,67.0,70.1,23.8,28,74.0,5,4,21.0,0,1.34,21.0,32.0,-11.0,-0.46,0.03,bundesliga,2024-2025
565,Nick Woltemade,de GER,"FW,MF",Stuttgart,22,2002,28,1622.0,58.0,53.0,18.0,17,82.0,9,11,21.0,5,1.36,39.0,28.0,11.0,0.61,0.61,bundesliga,2024-2025
566,Jeong Woo-yeong,kr KOR,"MF,FW",Union Berlin,24,1999,23,1263.0,55.0,41.3,14.0,17,66.0,1,6,25.0,0,1.13,15.0,22.0,-7.0,-0.5,-0.05,bundesliga,2024-2025
567,Granit Xhaka,ch SUI,MF,Leverkusen,31,1992,33,2888.0,88.0,94.4,32.1,33,88.0,29,0,,1,2.06,69.0,39.0,30.0,0.93,1.46,bundesliga,2024-2025
568,Julien Yanda,de GER,DF,St Pauli,16,2007,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2024-2025
569,Erencan Yardimci,tr TUR,FW,Hoffenheim,22,2002,8,313.0,39.0,10.2,3.5,3,71.0,0,5,20.0,5,1.13,4.0,9.0,-5.0,-1.44,-0.88,bundesliga,2024-2025
570,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,25,1999,2,29.0,15.0,0.9,0.3,0,,0,2,15.0,1,3.0,2.0,1.0,1.0,3.1,2.81,bundesliga,2024-2025
571,David Zec,si SVN,DF,Holstein Kiel,24,2000,18,1541.0,86.0,50.4,17.1,18,86.0,14,0,,0,0.94,28.0,39.0,-11.0,-0.64,0.54,bundesliga,2024-2025
572,Robin Zentner,de GER,GK,Mainz 05,29,1994,32,2880.0,90.0,94.1,32.0,32,90.0,32,0,,0,1.5,50.0,41.0,9.0,0.28,-1.22,bundesliga,2024-2025
573,Cedric Zesiger,ch SUI,DF,Augsburg,26,1998,15,1221.0,81.0,39.9,13.6,15,81.0,10,0,,0,1.33,10.0,12.0,-2.0,-0.15,0.54,bundesliga,2024-2025
574,Cedric Zesiger,ch SUI,DF,Wolfsburg,26,1998,7,522.0,75.0,17.1,5.8,5,90.0,5,2,36.0,9,1.43,12.0,12.0,0.0,0.0,-0.07,bundesliga,2024-2025
575,Michael Zetterer,de GER,GK,Werder Bremen,29,1995,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.5,54.0,57.0,-3.0,-0.09,,bundesliga,2024-2025
576,Leopold Zingerle,de GER,GK,RB Leipzig,30,1994,0,,,,,0,,0,0,,14,,,,,,,bundesliga,2024-2025
577,Budu Zivzivadze,ge GEO,FW,Heidenheim,30,1994,15,958.0,64.0,31.3,10.6,10,84.0,8,5,23.0,0,1.07,13.0,16.0,-3.0,-0.28,0.75,bundesliga,2024-2025
578,Luka Đurić,rs SRB,MF,Hoffenheim,21,2003,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2024-2025
579,Maik Łukowicz,pl POL,FW,Werder Bremen,29,1995,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2024-2025
