Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
27,Scott Banks,sct SCO,MF,St Pauli,22,2001,1.3,0,3,0,0.0,2.33,0.0,0.0,,0,0,bundesliga,2024-2025
28,Aymen Barkok,ma MAR,MF,Mainz 05,26,1998,0.8,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
29,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,30,1993,3.3,3,5,3,60.0,1.5,0.9,0.6,1.0,0,0,bundesliga,2024-2025
30,Maximilian Bauer,de GER,DF,Augsburg,24,2000,7.3,0,1,1,100.0,0.14,0.14,0.0,0.0,0,0,bundesliga,2024-2025
31,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24,1999,17.9,2,39,15,38.5,2.18,0.84,0.05,0.13,0,0,bundesliga,2024-2025
33,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,30,1994,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,17.8,4,39,13,33.3,2.2,0.73,0.1,0.31,0,0,bundesliga,2024-2025
35,Timo Becker,de GER,"DF,MF",Holstein Kiel,27,1997,27.2,0,17,4,23.5,0.63,0.15,0.0,0.0,0,0,bundesliga,2024-2025
36,Hannes Behrens,de GER,DF,Hoffenheim,19,2005,0.3,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
37,Kevin Behrens,de GER,FW,Wolfsburg,33,1991,1.9,1,9,3,33.3,4.76,1.59,0.11,0.33,0,0,bundesliga,2024-2025
38,Maximilian Beier,de GER,"MF,FW",Dortmund,21,2002,17.7,8,42,13,31.0,2.38,0.74,0.19,0.62,0,0,bundesliga,2024-2025
39,Stefan Bell,de GER,DF,Mainz 05,32,1991,16.0,0,12,4,33.3,0.75,0.25,0.0,0.0,0,0,bundesliga,2024-2025
40,Jeanuël Belocian,fr FRA,DF,Leverkusen,19,2005,0.8,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
41,László Bénes,sk SVK,"MF,FW",Union Berlin,26,1997,6.5,2,19,7,36.8,2.9,1.07,0.11,0.29,0,0,bundesliga,2024-2025
42,Ramy Bensebaini,dz ALG,DF,Dortmund,29,1995,22.5,1,20,2,10.0,0.89,0.09,0.05,0.5,0,0,bundesliga,2024-2025
43,Mergim Berisha,de GER,FW,Hoffenheim,26,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,0,0,bundesliga,2024-2025
44,Mergim Berisha,de GER,FW,Augsburg,26,1998,0.4,0,3,1,33.3,6.75,2.25,0.0,0.0,0,0,bundesliga,2024-2025
45,Bernardo,br BRA,DF,Bochum,29,1995,19.8,0,8,2,25.0,0.4,0.1,0.0,0.0,0,0,bundesliga,2024-2025
46,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,25,1998,14.0,7,27,14,51.9,1.92,1.0,0.26,0.5,0,0,bundesliga,2024-2025
47,Matúš Bero,sk SVK,MF,Bochum,28,1995,28.5,5,32,13,40.6,1.12,0.46,0.16,0.38,0,1,bundesliga,2024-2025
48,Jan-Niklas Beste,de GER,"DF,MF",Freiburg,25,1999,2.4,0,6,2,33.3,2.55,0.85,0.0,0.0,0,0,bundesliga,2024-2025
49,El Bilal Touré,ml MLI,FW,Stuttgart,22,2001,4.0,2,14,4,28.6,3.54,1.01,0.14,0.5,0,0,bundesliga,2024-2025
50,Tom Bischof,de GER,MF,Hoffenheim,19,2005,28.4,5,51,18,35.3,1.79,0.63,0.1,0.28,0,0,bundesliga,2024-2025
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,30,1993,10.9,2,27,9,33.3,2.47,0.82,0.07,0.22,0,0,bundesliga,2024-2025
52,Myron Boadu,nl NED,FW,Bochum,23,2001,11.6,9,28,15,53.6,2.42,1.3,0.29,0.53,1,1,bundesliga,2024-2025
53,Sacha Boey,fr FRA,DF,Bayern Munich,23,2000,6.6,0,3,1,33.3,0.46,0.15,0.0,0.0,0,0,bundesliga,2024-2025
