Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
33,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,30,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,32,18,1598,17.8,4,1,5,4,0,0,1,0,0.23,0.06,0.28,0.23,0.28,bundesliga,2024-2025
35,Timo Becker,de GER,"DF,MF",Holstein Kiel,27,1997,30,28,2445,27.2,0,2,2,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,bundesliga,2024-2025
36,Hannes Behrens,de GER,DF,Hoffenheim,19,2005,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
37,Kevin Behrens,de GER,FW,Wolfsburg,33,1991,18,0,170,1.9,1,0,1,1,0,0,2,0,0.53,0.0,0.53,0.53,0.53,bundesliga,2024-2025
38,Maximilian Beier,de GER,"MF,FW",Dortmund,21,2002,29,17,1591,17.7,8,5,13,8,0,0,2,0,0.45,0.28,0.74,0.45,0.74,bundesliga,2024-2025
39,Stefan Bell,de GER,DF,Mainz 05,32,1991,18,15,1436,16.0,0,1,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,bundesliga,2024-2025
40,Jeanuël Belocian,fr FRA,DF,Leverkusen,19,2005,5,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
41,László Bénes,sk SVK,"MF,FW",Union Berlin,26,1997,23,3,589,6.5,2,1,3,2,0,0,4,0,0.31,0.15,0.46,0.31,0.46,bundesliga,2024-2025
42,Ramy Bensebaini,dz ALG,DF,Dortmund,29,1995,31,23,2022,22.5,1,6,7,1,0,0,6,0,0.04,0.27,0.31,0.04,0.31,bundesliga,2024-2025
