Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
96,Carmona,es ESP,"MF,DF",Elche,20,2002,9,8,589,6.5,1,0,1,1,0,0,5,1,0.15,0.0,0.15,0.15,0.15,la_liga,2022-2023
97,Carmona,es ESP,DF,Sevilla,20,2002,10,5,527,5.9,2,1,3,2,0,0,6,1,0.34,0.17,0.51,0.34,0.51,la_liga,2022-2023
98,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,28,1993,35,26,2317,25.7,7,3,10,6,1,1,2,0,0.27,0.12,0.39,0.23,0.35,la_liga,2022-2023
99,Dani Carvajal,es ESP,DF,Real Madrid,30,1992,27,20,1784,19.8,0,2,2,0,0,0,8,1,0.0,0.1,0.1,0.0,0.1,la_liga,2022-2023
100,William Carvalho,pt POR,MF,Real Betis,30,1992,33,31,2438,27.1,3,1,4,3,0,0,6,1,0.11,0.04,0.15,0.11,0.15,la_liga,2022-2023
101,Casemiro,br BRA,MF,Real Madrid,30,1992,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
102,Valentín Castellanos,ar ARG,FW,Girona,23,1998,35,33,2597,28.9,13,0,13,12,1,1,11,0,0.45,0.0,0.45,0.42,0.42,la_liga,2022-2023
103,Samu Castillejo,es ESP,"FW,MF",Valencia,27,1995,25,17,1362,15.1,4,0,4,4,0,0,7,0,0.26,0.0,0.26,0.26,0.26,la_liga,2022-2023
104,Catena,es ESP,DF,Rayo Vallecano,27,1994,35,35,3103,34.5,1,1,2,1,0,0,14,1,0.03,0.03,0.06,0.03,0.06,la_liga,2022-2023
105,Edinson Cavani,uy URU,FW,Valencia,35,1987,25,20,1449,16.1,5,2,7,3,2,3,6,0,0.31,0.12,0.43,0.19,0.31,la_liga,2022-2023
106,Dani Ceballos,es ESP,MF,Real Madrid,25,1996,30,19,1564,17.4,0,4,4,0,0,0,8,0,0.0,0.23,0.23,0.0,0.23,la_liga,2022-2023
107,Álex Centelles,es ESP,"DF,MF",Almería,24,1997,15,11,1123,12.5,1,2,3,1,0,0,0,1,0.08,0.16,0.24,0.08,0.24,la_liga,2022-2023
108,Franco Cervi,ar ARG,MF,Celta Vigo,28,1994,36,21,1894,21.0,0,4,4,0,0,0,2,1,0.0,0.19,0.19,0.0,0.19,la_liga,2022-2023
109,Pep Chavarría,es ESP,MF,Rayo Vallecano,24,1998,16,2,366,4.1,0,2,2,0,0,0,1,0,0.0,0.49,0.49,0.0,0.49,la_liga,2022-2023
110,Pape Cheikh Diop,sn SEN,MF,Elche,24,1997,2,0,37,0.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
111,Andreas Christensen,dk DEN,DF,Barcelona,26,1996,23,22,1760,19.6,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,la_liga,2022-2023
112,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,23,1999,37,27,2339,26.0,6,5,11,6,0,0,1,0,0.23,0.19,0.42,0.23,0.42,la_liga,2022-2023
113,Chumi,es ESP,DF,Almería,23,1999,21,15,1489,16.5,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,la_liga,2022-2023
114,Víctor Chust,es ESP,DF,Cádiz,22,2000,14,10,965,10.7,1,0,1,1,0,0,3,0,0.09,0.0,0.09,0.09,0.09,la_liga,2022-2023
115,Pathé Ciss,sn SEN,MF,Rayo Vallecano,28,1994,32,12,1282,14.2,1,0,1,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07,la_liga,2022-2023
116,Carlos Clerc,es ESP,"DF,MF",Elche,30,1992,32,31,2639,29.3,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,la_liga,2022-2023
117,Álex Collado,es ESP,MF,Elche,23,1999,15,8,722,8.0,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,la_liga,2022-2023
118,Diego Collado,es ESP,"FW,MF",Villarreal,21,2001,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
119,Eray Cömert,ch SUI,DF,Valencia,24,1998,23,19,1672,18.6,1,0,1,1,0,0,5,1,0.05,0.0,0.05,0.05,0.05,la_liga,2022-2023
120,Santi Comesaña,es ESP,MF,Rayo Vallecano,25,1996,35,29,2451,27.2,3,2,5,3,0,0,6,0,0.11,0.07,0.18,0.11,0.18,la_liga,2022-2023
121,Copete,es ESP,DF,Mallorca,22,1999,28,27,2206,24.5,1,0,1,1,0,0,7,1,0.04,0.0,0.04,0.04,0.04,la_liga,2022-2023
122,Francis Coquelin,fr FRA,MF,Villarreal,31,1991,16,9,748,8.3,1,0,1,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,la_liga,2022-2023
123,Jesús Corona,mx MEX,MF,Sevilla,29,1993,4,1,111,1.2,1,0,1,1,0,0,0,0,0.81,0.0,0.81,0.81,0.81,la_liga,2022-2023
124,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27,1995,35,13,1455,16.2,9,1,10,9,0,0,3,1,0.56,0.06,0.62,0.56,0.62,la_liga,2022-2023
125,Thierry Correia,pt POR,DF,Valencia,23,1999,27,24,2009,22.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
126,Jaume Costa,es ESP,DF,Mallorca,34,1988,32,30,2599,28.9,0,1,1,0,0,0,10,0,0.0,0.03,0.03,0.0,0.03,la_liga,2022-2023
127,Samu Costa,pt POR,MF,Almería,21,2000,32,22,1989,22.1,1,2,3,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14,la_liga,2022-2023
128,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
129,Yan Couto,br BRA,"MF,DF",Girona,20,2002,25,12,1158,12.9,1,2,3,1,0,0,3,0,0.08,0.16,0.23,0.08,0.23,la_liga,2022-2023
130,Juan Cruz Armada,es ESP,DF,Osasuna,30,1992,27,21,2062,22.9,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
131,Juan Cruz,es ESP,MF,Real Betis,22,2000,6,1,178,2.0,1,0,1,1,0,0,1,0,0.51,0.0,0.51,0.51,0.51,la_liga,2022-2023
132,Jorge Cuenca,es ESP,DF,Villarreal,22,1999,10,5,506,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
133,Braian Cufré,ar ARG,"MF,DF",Mallorca,25,1996,5,2,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
134,Matheus Cunha,br BRA,"MF,FW",Atlético Madrid,23,1999,11,2,377,4.2,0,2,2,0,0,0,2,0,0.0,0.48,0.48,0.0,0.48,la_liga,2022-2023
135,Curro,es ESP,"FW,MF",Almería,26,1996,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
136,Arnaut Danjuma,nl NED,FW,Villarreal,25,1997,10,6,479,5.3,2,0,2,1,1,1,0,0,0.38,0.0,0.38,0.19,0.19,la_liga,2022-2023
137,Sergi Darder,es ESP,MF,Espanyol,28,1993,38,38,3320,36.9,6,3,9,6,0,0,4,0,0.16,0.08,0.24,0.16,0.24,la_liga,2022-2023
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28,1994,30,24,1923,21.4,2,7,9,2,0,0,5,0,0.09,0.33,0.42,0.09,0.42,la_liga,2022-2023
139,Alberto Del Moral,es ESP,MF,Villarreal,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
